Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
38,,3.0,Material Topics,3-2,List of material topics,"Environment, Social, and Governance",,,,Steadfast Group,2023.0,,,,,,25,,,,,,,,,,,,,,,,,,,,,
39,,3.0,Material Topics,3-3,Management of material topics,"We aim to increase long-term value for all of our stakeholders. Careful analysis of the risks associated with our operating environment, business activities, and value drivers and resulting value creation enables us to meet our strategic objectives.",,,,Steadfast Group,2023.0,,,,,,10,,,,,,,,,,,,,,,,,,,,,
40,,3.0,Material Topics,3-3,Management of material topics,"We consider and manage strategic risks through our annual strategic planning process, which is led by management and overseen by the Board. The Board monitors managementÃ¢ÂÂs progress in implementing key strategic initiatives, and our risk management framework manages any change in our key strategic risks.\t",,,,Steadfast Group,2023.0,,,,,,49,,,,,,,,,,,,,,,,,,,,,
41,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,,International expansion strategy,,,Steadfast Group,2023.0,We are excited about the potential for international expansion of the Steadfast Network systems and the opportunities it provides to partner with distribution. We will provide more detail on this expansion at the Steadfast 2023 Annual General Meeting.,,,,,"2, 5",,"International expansion, Partnering, Distribution","8, 9",S,,,,,,,,,,,,,,,,,
42,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,,Facility Extention,,,Steadfast Group,2023.0,"On 30 June 2023, the GroupGroup had a $660.0 million multi-bank multi-bank syndicated facility with a combination of three-year and five-year tranches. The GroupGroup could borrow a further $216.6 million from this facility.",,,,,"2, 51",,"Syndicated facility, Borrowing capability, Facility Extention",9,S,,,,,,,,,,,,,,,,,
43,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,,IQumulate Premium Funding Warehouse Trust extension,,,Steadfast Group,2023.0,"On 30 June 2023, the Warehouse Trust limit for IQumulate Premium Funding Pty Ltd was $570.0 million (including a $60.0 million overdraft facility). In July 2023, the Warehouse Trust limit was increased by $90.0 million to $660.0 million (including a $60.0 million overdraft facility) with an extended availability period to July 2024.",,,,,"5, 51",,"Warehouse Trust limit, Premium Funding, Extended Availability",9,S,,,,,,,,,,,,,,,,,
44,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,"The intermediated general insurance market consists of insurance brokers and underwriting agencies. Australia is Steadfast GroupÃ¢ÂÂs largest market, with an intermediated GWP of $35 billion generated in the calendar year 2022, of which our insurance broker network has a 33% share. We are a key distribution channel for our insurer partners as the Steadfast Network has a large and diverse client base across Australia.",,,,Steadfast Group,2023.0,,,,,,19,,,,,,,,,,,,,,,,,,,,,
45,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Carbon offsetting,,,Steadfast Group,2023.0,"We have reduced our environmental impact by offsetting the carbon emissions for much of our corporate travel. Steadfast purchased 828 carbon offset units this financial year to retire 1,078 tCO2e from the corporate travel undertaken across the GroupGroup. We direct our carbon offsetting to a portfolio of projects through Tasman Environmental Markets.",,,,,"28, 29",,"Carbon offsetting, Environmental impact, Emissions","7, 13",E,,,,,,,,,,,,,,,,,
46,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,Steadfast published the first phase of its carbon-neutral transition plan (CNTP) in December 2022 to support its environmental commitment.\t,,,,Steadfast Group,2023.0,,,,,,28,,,,,,,,,,,,,,,,,,,,,
47,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,"Steadfast is a services-based business with local community operations and a relatively small environmental footprint. Nonetheless, we recognise that climate change continues to be a global risk and a material issue for the insurance industry, including insurers, customers, and the whole economy. As part of our Environmental, Social, and Governance focus, we have committed to reducing the intensity of our operating emissions (Scope 1 & 2), with a target for our Australian-controlled businesses to be carbon neutral by 2030.",,,,Steadfast Group,2023.0,,,,,,51,,,,,,,,,,,,,,,,,,,,,
