Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
76,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,,NO DISCLOSURE,Steadfast Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,,NO DISCLOSURE,Steadfast Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,304.0,Biodiversity,304-03,Habitats protected or restored,,,,NO DISCLOSURE,Steadfast Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,Steadfast Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,,Emissions Target,,,Steadfast Group,2023.0,"Steadfast aims to reduce the intensity of our operating emissions (scope 1 & 2), with a target for our Australian-controlled businesses to be carbon neutral by 2030.",,,,,28,,"Emissions Target, Intensity Reduction, Carbon Neutral","7, 13",E,,,,,,,,,,,,,,,,,
81,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,,Green travel policy,,,Steadfast Group,2023.0,"Steadfast recognises that travel, especially air travel, directly impacts the environment. We reduce the need for unnecessary business travel and encourage the use of more sustainable forms of transport across our operations. Our green travel policy seeks to embed some of the COVID adjustments we have made to how we do business, including virtual meetings, and reduce our environmental impact, including reducing emissions associated with work-related travel.",,,,,28,,"Green Travel Policy, Environment, Emissions",13,E,,,,,,,,,,,,,,,,,
82,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,"Steadfast has also undertaken an analysis of major sources of Scope 3 emissions. While these emissions are outside SteadfastÃ¢ÂÂs operational control, this analysis will provide a strong foundation for Steadfast to target any future value chain emissions reduction initiatives.",,,,Steadfast Group,2023.0,,,,,,,,,,,,Carbon Neutral Transition Plan,,,,,,,,,,,,,,,
83,,305.0,Emissions,305-04,GHG emissions intensity,,Carbon Neutral Roadmap,,,Steadfast Group,2023.0,"Our primary focus is reducing the intensity of our operating emissions (scope 1 & 2), with the balance offset by carbon credits. Given Steadfast's scope, 1 & 2 emissions arise predominately from petrol consumption and electricity use; our strategy to reach carbon neutral by 2030 includes implementing two abatement options: Green power procurement and Transitioning to electric vehicles.",,,,,28,,"Carbon Neutral Roadmap, Emissions Reduction, Operating Emissions",13,E,,,,,,,,,,,,,,,,,
84,,305.0,Emissions,305-05,Reduction of GHG emissions,"Our total carbon emissions footprint increased as Steadfast continued to make Trapped Capital acquisitions, our people returned to the office after COVID lockdowns, and our Network broker's fleet use increased with more in-person client meetings.",,,,Steadfast Group,2023.0,,,,,,28,,,,,,,,,,,,,,,,,,,,,
85,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,Steadfast Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,Steadfast Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,,,NO DISCLOSURE,Steadfast Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
