Unnamed: 0,Task Force on Climate-related Financial Disclosures,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,,,,,,Links to key Qantas documents,
1,,,,,,,,,Qantas Group website,Link
2,,,,,,,,,Qantas Business Pratices,Link
3,,,,,,,,,2022 Modern Slavery Statement,Link
4,,,,,,,,,FY23 Sustainability Report,Link
5,,,,,,,,,FY23 Annual Report,Link
6,,,,,,,,,Qantas Constitution,Link
7,,,,,,,,,Qantas Inclusion and Diversity Policy,Link
8,,,,,,,,,Qantas Group Corporate Governance Statement,Link
9,,,,,,,,,Governance section of Qantas Group website,Link
11,TCFD Overview,,,,"The Financial Stability Board (FSB) created the Task Force on Climate-related Financial Disclosures (TCFD) to develop recommendations on the information companies should disclose related to climate change. In December 2017, Qantas Group publicly declared our support for the TCFD and its recommendations. Our response to the TCFD is included in the Climate action section of the FY23 Sustainability Report.",,,,,
13,THEMATIC AREA,,,,,RECOMMENDATION,QANTAS LOCATION,,,
14,Governance,,,,,Describe the boardÃ¢ÂÂs oversight of climate-related risks and opportunities,FY23 Sustainability Report (Pages 12 to 19)\nFY23 Sustainability Report (Page 21)\nFY23 Sustainability Report (Page 32),,,
15,,,,,,Describe managementÃ¢ÂÂs role in assessing and managing climate-related risks and opportunities,FY23 Sustainability Report (Pages 21 and 34 ),,,
16,Strategy,,,,,"Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term",FY23 Sustainability Report (Pages 22 to 25),,,
17,,,,,,"Describe the impact of climate-related risks and opportunities on the organizationÃ¢ÂÂs businesses, strategy, and financial planning",FY23 Sustainability Report (Pages 22 to 25),,,
18,,,,,,"Describe the resilience of the organizationÃ¢ÂÂs strategy, taking into consideration different climate-related scenarios, including a 2ÃÂ°C or lower scenario",FY23 Sustainability Report (Pages 22 to 25),,,
19,Risk Management,,,,,Describe the organizationÃ¢ÂÂs processes for identifying and assessing climate-related risks,FY23 Sustainability Report (Pages 21 to 25),,,
20,,,,,,Describe the organizationÃ¢ÂÂs processes for managing climate-related risks,FY23 Sustainability Report (Pages 21 to 25),,,
21,,,,,,"Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organizationÃ¢ÂÂs overall risk management",FY23 Sustainability Report (Pages 21 to 25),,,
22,Metrics and Targets,,,,,Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process,FY23 Sustainability Report (Page 34),,,
23,,,,,,"Disclose Scope 1, Scope 2 and, if appropriate, Scope 3 greenhouse gas (GHG) emissions and the related risks",FY23 Sustainability Report (Page 34)\nFY23 Sustainability Report (Page 73),,,
24,,,,,,Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets,FY23 Sustainability Report (Page 21),,,
