SDGs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,Links to key Qantas documents,
,,,,,,,,Qantas Group website,Link
,,,,,,,,Qantas Business Pratices,Link
,,,,,,,,2022 Modern Slavery Statement,Link
,,,,,,,,FY23 Sustainability Report,Link
,,,,,,,,FY23 Annual Report,Link
,,,,,,,,Qantas Constitution,Link
,,,,,,,,Qantas Inclusion and Diversity Policy,Link
,,,,,,,,Qantas Group Corporate Governance Statement,Link
,,,,,,,,Governance section of Qantas Group website,Link
,,,,,,,,,
,,,,,,,,,
SDGs Overview,,,,The 17 UN SDGs are key to the UN’s 2030 Agenda for a better future for people and the planet. Our Sustainability Framework aims to support the achievement of the UN SDGs. We recognise that there are some SDGs where we have a greater ability to influence environmental and social outcomes. These are included in the list of material sustainability topics on page eight and referenced at the beginning of each key section of the FY23 Sustainability Report.,,,,,
,,,,,,,,,
SDG Number,,,,,SDG,QANTAS LOCATION ,,,
3,,,,,Good Health and Well-being,FY23 Sustainability Report (Pages 41 to 48),,,
5,,,,,Gender Equality,"FY22 Modern Slavery Statement
Qantas Business Practices (Page 9)
FY23 Sustainability Report (Pages 54 to 60)",,,
7,,,,,Affordable and Clean Energy,FY23 Sustainability Report (Pages 21 to 34),,,
8,,,,,Decent Work and Economic Growth,"FY22 Modern Slavery Statement
FY23 Sustainability Report (Pages 13 to 14)
FY23 Sustainability Report (Pages 38 to 39)
FY23 Sustainability Report (Pages 50 to 58)",,,
9,,,,,"Industry, Innovation and Infrastructure",FY23 Sustainability Report (Pages 21 to 34),,,
10,,,,,Reduced Inequalities,"FY22 Modern Slavery Statement
Qantas Business Practices (Page 9)
FY23 Sustainability Report (Pages 54 to 60)",,,
11,,,,,Sustainable Cities and Communities,"FY23 Sustainability Report (Pages 38 to 39)
FY23 Sustainability Report (Pages 52 to 54)
FY23 Sustainability Report (Pages 62 to 67)
FY23 Sustainability Report (Page 70)",,,
12,,,,,Responsible Consumption and Production,FY23 Sustainability Report (Pages 35 to 37),,,
13,,,,,Climate Action,FY23 Sustainability Report (Pages 21 to 34),,,
14,,,,,Life Below Water,FY23 Sustainability Report (Pages 38 to 39),,,
15,,,,,Life On Land,FY23 Sustainability Report (Pages 38 to 39),,,
16,,,,,"Peace, Justice and Strong Institutions","FY23 Sustainability Report (Pages 13 to 14)
FY23 Sustainability Report (Pages 48 to 49)
FY23 Sustainability Report (Pages 59 to 60)",,,
