GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,Links to key Qantas documents,
,,,,,,,,Qantas Group website,Link
,,,,,,,,Qantas Business Pratices,Link
,,,,,,,,2022 Modern Slavery Statement,Link
,,,,,,,,FY23 Sustainability Report,Link
,,,,,,,,FY23 Annual Report,Link
"Statement of use
",,,,Qantas Airways Limited has reported the information cited in this GRI content index for the period 1 July 2022 to 30 June 2023 with reference to the GRI Standards.,,,,Qantas Constitution,Link
GRI 1 used,,,,GRI 1: Foundation 2021,,,,Qantas Inclusion and Diversity Policy,Link
,,,,,,,,Qantas Group Corporate Governance Statement,Link
,,,,,,,,Governance section of Qantas Group website,Link
GRI STANDARD ,,,,,DISCLOSURE ,LOCATION ,,,
"GRI 2: General Disclosures 2021





























































",,,,,2-1 Organizational details,FY23 Sustainability Report (Page 5),,,
,,,,,2-2 Entities included in the organization’s sustainability reporting,FY23 Sustainability Report (Page 5),,,
,,,,,"2-3 Reporting period, frequency and contact point",FY23 Sustainability Report (Page 6),,,
,,,,,2-4 Restatements of information,Where applicatble - FY23 Sustainability Report (Pages 71 to 74),,,
,,,,,2-5 External assurance,FY23 Sustainability Report (Pages 75 and 76),,,
,,,,,"2-6 Activities, value chain and other business relationships","FY23 Sustainability Report (Page 5, and pages 9 to 11)",,,
,,,,,2-7 Employees,FY23 Sustainability Report (Pages 50 and 72),,,
,,,,,2-8 Workers who are not employees,FY23 Sustainability Report (Page 50),,,
,,,,,2-9 Governance structure and composition,"FY23 Sustainability Report (Page 12)
Corporate Governance Statement",,,
,,,,,2-10 Nomination and selection of the highest governance body,"FY23 Annual Report (Page 23 to 24), also FY23 Corporate Governance Statement",,,
,,,,,2-11 Chair of the highest governance body,"FY23 Annual Report (Page 8 to 11), also FY23 Corporate Governance Statement",,,
,,,,,2-12 Role of the highest governance body in overseeing the management of impacts,"FY23 Sustainability Report (Page 12)
Corporate Governance Statement
Board Charter (Governance section of Qantas Group website)",,,
,,,,,2-13 Delegation of responsibility for managing impacts,"FY23 Sustainability Report (Page 12)
Corporate Governance Statament",,,
,,,,,2-14 Role of the highest governance body in sustainability reporting,FY23 Sustainability Report (Page 12),,,
,,,,,2-15 Conflicts of interest,"Corporate Governance Statement
Board Charter (Governance section of Qantas Group website)",,,
,,,,,2-16 Communication of critical concerns,FY23 Annual Report (Page 21 to 22),,,
,,,,,2-17 Collective knowledge of the highest governance body,Corporate Governance Statement,,,
,,,,,2-18 Evaluation of the performance of the highest governance body,Corporate Governance Statement,,,
,,,,,2-19 Remuneration policies,"FY23 Annual Report (Pages 30 to 60)
Corporate Governance Statement",,,
,,,,,2-20 Process to determine remuneration,FY23 Annual Report (Pages 30 to 60),,,
,,,,,2-21 Annual total compensation ratio,FY23 Annual Report (Pages 30 to 60),,,
,,,,,2-22 Statement on sustainable development strategy,FY23 Sustainability Report (Page 7),,,
,,,,,2-23 Policy commitments,"Qantas Business Practices
Qantas Code of Conduct and Ethics",,,
,,,,,2-24 Embedding policy commitments,"Qantas Business Practices
Qantas Code of Conduct and Ethics
FY23 Sustainability Report (Pages 13 and 14)",,,
,,,,,2-25 Processes to remediate negative impacts,"Whistleblower Policy
Code of Conduct
Modern Slavery Statament",,,
,,,,,2-26 Mechanisms for seeking advice and raising concerns,"FY23 Sustainability Report (Pages 13 to 14)
Whistleblower Policy
Code of Conduct
Modern Slavery Statement",,,
,,,,,2-27 Compliance with laws and regulations,"Corporate Governance Statement
FY23 Annual Report (pages 107 and 108)",,,
,,,,,2-28 Membership associations,FY23 Sustainability Report (Page 11),,,
,,,,,2-29 Approach to stakeholder engagement,FY23 Sustainability Report (Pages 9 to 10),,,
,,,,,2-30 Collective bargaining agreements,FY23 Sustainability Report (Pages 10 and 72),,,
"GRI 3: Material Topics 2021
",,,,,3-1 Process to determine material topics,FY23 Sustainability Report (Pages 7 to 8),,,
,,,,,3-2 List of material topics,FY23 Sustainability Report (Pages 7 to 8),,,
,,,,,3-3 Management of material topics,Detailed in each relevant section of the SR and/ or AR or other corporate disclosures,,,
GRI 201: Economic Performance 2016,,,,,201-1 Direct economic value generated and distributed,FY23 Annual Report ,,,
,,,,,201-2 Financial implications and other risks and opportunities due to climate change,FY23 Annual Report (Page 70),,,
,,,,,201-3 Defined benefit plan obligations and other retirement plans,FY23 Annual Report (Pages 100 and 101),,,
,,,,,201-4 Financial assistance received from government,FY23 Annual Report (Page 113),,,
GRI 204: Procurement Practices 2016,,,,,204-1 Proportion of spending on local suppliers,FY23 Sustainability Report (Page 71),,,
GRI 205: Anti-corruption 2016,,,,,205-1 Operations assessed for risks related to corruption,FY23 Sustainability Report (Pages 13 to 14),,,
,,,,,205-2 Communication and training about anti-corruption policies and procedures,FY23 Sustainability Report (Pages 13 to 14),,,
GRI 302: Energy 2016,,,,,302-1 Energy consumption within the organization,FY23 Sustainability Report (Page 73),,,
,,,,,302-2 Energy consumption outside of the organization,FY23 Sustainability Report (Page 73),,,
,,,,,302-3 Energy intensity,FY23 Sustainability Report (Page 73),,,
,,,,,302-4 Reduction of energy consumption,FY23 Sustainability Report (Pages 21 to 34),,,
,,,,,302-5 Reductions in energy requirements of products and services,FY23 Sustainability Report (Pages 21 to 34),,,
GRI 305: Emissions 2016,,,,,305-1 Direct (Scope 1) GHG emissions,FY23 Sustainability Report (Pages 73 to 74),,,
,,,,,305-2 Energy indirect (Scope 2) GHG emissions,FY23 Sustainability Report (Pages 73 to 74),,,
,,,,,305-3 Other indirect (Scope 3) GHG emissions,FY23 Sustainability Report (Pages 73 to 74),,,
,,,,,305-4 GHG emissions intensity,FY23 Sustainability Report (Pages 73 to 74),,,
,,,,,305-5 Reduction of GHG emissions,FY23 Sustainability Report (Pages 73 to 74),,,
,,,,,305-6 Emissions of ozone-depleting substances (ODS),FY23 Sustainability Report (Pages 73 to 74),,,
,,,,,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",FY23 Sustainability Report (Pages 73 to 74),,,
GRI 306: Waste 2020,,,,,306-1 Waste generation and significant waste-related impacts,FY23 Sustainability Report (Pages 35 to 37),,,
,,,,,306-2 Management of significant waste-related impacts,FY23 Sustainability Report (Pages 35 to 37),,,
,,,,,306-3 Waste generated,FY23 Sustainability Report (Pages 35 to 37),,,
,,,,,306-4 Waste diverted from disposal,FY23 Sustainability Report (Pages 35 to 37),,,
,,,,,306-5 Waste directed to disposal,FY23 Sustainability Report (Pages 35 to 37),,,
GRI 401: Employment 2016,,,,,401-1 New employee hires and employee turnover,FY23 Sustainability Report (Page 72),,,
,,,,,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,FY23 Sustainability Report (Page 51),,,
,,,,,401-3 Parental leave,FY23 Sustainability Report (Pages 56),,,
GRI 403: Occupational Health and Safety 2018,,,,,403-1 Occupational health and safety management system,FY23 Sustainability Report (Pages 41 to 49),,,
,,,,,"403-2 Hazard identification, risk assessment, and incident investigation",FY23 Sustainability Report (Pages 41 to 49),,,
,,,,,403-3 Occupational health services,FY23 Sustainability Report (Pages 41 to 49),,,
,,,,,"403-4 Worker participation, consultation, and communication on occupational health and safety",FY23 Sustainability Report (Pages 41 to 49),,,
,,,,,403-5 Worker training on occupational health and safety,FY23 Sustainability Report (Pages 41 to 49),,,
,,,,,403-6 Promotion of worker health,FY23 Sustainability Report (Pages 41 to 49),,,
,,,,,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,FY23 Sustainability Report (Pages 41 to 49),,,
,,,,,403-8 Workers covered by an occupational health and safety management system,FY23 Sustainability Report (Pages 41 to 49),,,
,,,,,403-9 Work-related injuries,"FY23 Sustainability Report (Pages 45, 72)",,,
,,,,,403-10 Work-related ill health,"FY23 Sustainability Report (Pages 45, 72)",,,
GRI 405: Diversity and Equal Opportunity 2016,,,,,405-1 Diversity of governance bodies and employees,FY23 Sustainability Report (Pages 54 to 58),,,
,,,,,405-2 Ratio of basic salary and remuneration of women to men,Gender Pay Reports (available at Qantas Group/ Our reporting approach),,,
GRI 407: Freedom of Association and Collective Bargaining 2016,,,,,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,FY23 Sustainability Report (Pages 10 and 53),,,
GRI 408: Child Labor 2016,,,,,408-1 Operations and suppliers at significant risk for incidents of child labor,2022 Modern Slavery Statement (Page 18),,,
GRI 409: Forced or Compulsory Labor 2016,,,,,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,2022 Modern Slavery Statement (Page 18),,,
GRI 410: Security Practices 2016,,,,,410-1 Security personnel trained in human rights policies or procedures,2022 Modern Slavery Statement (Page 19),,,
GRI 413: Local Communities 2016,,,,,"413-1 Operations with local community engagement, impact assessments, and development programs",FY23 Sustainability Report (Pages 52 to 71),,,
,,,,,413-2 Operations with significant actual and potential negative impacts on local communities,FY23 Sustainability Report (Pages 62 and 63),,,
GRI 414: Supplier Social Assessment 2016,,,,,414-1 New suppliers that were screened using social criteria,2022 Modern Slavery Statement (Page 26),,,
,,,,,414-2 Negative social impacts in the supply chain and actions taken,2022 Modern Slavery Statement (Page 26),,,
