Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
37,Halls Head Central,Halls Head Central,4,5,5,2647.3850757373298,136.68296826531997,7.755485328744596,457.3598983380001,3315.302532810667,24.750553742552178,9473,0.4890855396307463,114.88,63.70000000000001,0.35670287826184344
38,Karratha City,Karratha City,3,4,3,5461.8228,238.87681393945223,0,1000.4557368330002,6154.186250000001,45.12117596634097,30861,1.349728401109138,212.38,144.54000000000002,0.4049646979715343
39,Kurralta Central,Kurralta Central,4,6,4,649.7028,60.86436962509134,0,119.007686133,152.01695999999998,5.917369269106101,6580,0.6164165401982276,85.24,66.38999999999999,0.43784211567631726
40,Lake Haven,Lake Haven Centre,4,5,4.5,7018.160069992767,161.85644205295077,0,1285.53392542075,6025.668243583194,35.51849700606421,23673,0.5459589856182139,179.16,308.37,0.6325149221586365
41,Livingston,Livingston Marketplace,3,6,3,698.3604,44.75751127973749,0,127.92042036899998,2761.3278499999997,8.454196575061525,11221,0.7191473543888434,108.03,92.6,0.46154612969147185
42,Maddington Central,Maddington Central,4,4,3.5,6020.7336,215.9075655264168,0,1102.832825346,4082.2480760215417,40.78254015498984,24166,0.8666090505169318,117.69,207.43,0.6380105807086615
43,Mandurah Forum,Mandurah Forum,4,5,3,14155.391554338188,213.67402825669438,43.34045841904687,2438.817133662,8651.237226560754,38.616756205795326,63487,0.9583290564488373,473.44,549.91,0.5373625836712758
44,Midland Gate,Midland Gate,4,4,3.5,22254.17679,323.22884650019756,86,4076.353198066275,8673.56659963615,62.30343715867631,58869,0.855037647277544,452.32,792.8900000000001,0.6367520337934968
45,MORNINGTON CENTRAL,Mornington Central,4,4,4.5,2113.665408,185.9049929636926,0,387.1653769468799,804.435088,49.57466479031804,3086,0.27142555586828027,70.74,34.56,0.32820512820512826
46,Mount Pleasant,,Divested,Divested,Divested,0,0,0,0,0,0,0,0,0,0,0
47,Myer Brisbane,The Myer Centre Brisbane,4,4,4,17567.6452,267.9383399932892,0.15174432000000002,3217.5135447209996,6471.496701759999,59.536841416587855,67171,1.0244791507793674,420.35,436.98,0.509698715780388
48,Nepean Village,Nepean Village,3,4.5,2.5,2311.4293974283205,100.30199557504854,0,423.3903013004389,1570.5444155055507,22.010715695635646,24854,1.0785126298020804,275.95,369.29999999999995,0.5723363037582332
49,Northgate,Northgate,4,5,3.5,2210.569642966609,113.50049254563798,0,404.91556792630115,238.06094246092562,5.044466335361689,17568,0.9020193773971442,171.66,83.18,0.3264008789828913
50,Northland,Northland,4,Underway,Underway,39088.255200582425,401.07095754021833,646.2711783495773,4862.608205153522,8881.048820723901,79.2672882979565,73590,0.7550813310527325,862.31,534.49,0.3826532073310424
51,Oakleigh Central,Oakleigh Central,4,5,4,3821.3449660000006,268.9875665897061,61.22286256549999,482.33781625176005,1074.2991973244998,53.73783366408801,7667,0.5396863385516387,103.6,268.01,0.7212130997551196
52,Queens Plaza,QueensPlaza,3,4,3,10889.265759999998,277.9008207431604,0.15174432000000002,1994.2180867476004,2484.99165376,61.74735158023683,46024,1.1745610453246222,170.34,333.04,0.6616075330764035
53,Queen Victoria Building,Queen Victoria Building,2,Exempt,Exempt,19788.658675466584,1393.7147357443798,305.74490714,2537.9137264269034,2998.4271109340725,235.67405397523615,33120,2.332640771912525,190.32,138.01999999999998,0.4203569470670646
54,Rockingham,Rockingham Centre,4,5,3,9423.43956,154.24517930595363,0,1726.1149828041005,9707.940466957552,29.135200535569027,82015,1.3424417167671403,491.27,467.02,0.4873472539627879
55,Roselands,Roselands,4,4.5,2,14933.852960202157,233.91893988600233,0,2735.47118135263,3685.916964226154,51.332211808317176,77295,1.210723348266032,505.81,1189.52,0.7016451074422089
56,Roxburgh Park,Roxburgh Village,4,5,3.5,8755.11499,353.9136142776295,261.4797008399,674.2204514451,4172.346485330099,50.247597899583624,22107,0.893645403832161,311.04,435.53000000000003,0.5833746333230642
57,Runaway Bay,,Divested,Divested,Divested,0,0,0,0,0,0,0,0,0,0,0
58,Sunshine Marketplace,Sunshine Marketplace,4,5,5.5,3584.7302399999994,104.78021507136403,0,656.6239998864,1319.55792,27.94139068569708,15411,0.4504572970223811,213.37,129.61,0.3778937547378856
59,Taigum Square,Taigum Square,4,6,4,3409.3692,149.2868896605175,57,624.5026797870001,1676.3980400000003,35.67073742101876,21437,0.9386672037902241,158.39,167.94,0.5146324272975209
60,The Galeries,The Galeries,3,Exempt,Exempt,18605.2845168,1234.8366972058138,85.95513179999999,3102.433757803548,2893.43303716,252.38832921749517,32074,2.1287582133138647,362.98,290.85999999999996,0.44484889269546063
61,The Glen,The Glen,3,3.5,1,44258.94001098993,575.1738819967293,793.375333553551,5286.8277280658685,10543.63773771758,110.33386699667247,118480,1.539725115921236,1102.81,878.3199999999999,0.4433429406449854
62,The Strand,The Strand Arcade,3,Exempt,Exempt,1330.150883160567,233.2984097449035,0,243.647062645729,26.464044950344356,51.19603991624272,2051,0.359729895641498,0,0,0
63,Victoria Gardens Shopping Centre,Victoria Gardens Shopping Centre,4,5,5,7926.948344578422,208.54573052197077,54.09593635,1259.7053710097912,2087.2909773494002,49.67044705698531,22868,0.6016216529073469,497.61,311.84999999999997,0.3852568378919279
64,Victoria Park Central,Victoria Park Central,3,3.5,0,857.6252999999999,148.6043283892431,0,157.09337026425,805.1452508313542,28.06970647352371,8793,1.5235999445522592,72.38,49.480000000000004,0.4060397177088462
65,Warriewood Square,Warriewood Square,4,5,4,2990.1662730121484,98.42386639496215,1.9968905600000002,540.6179309233175,2210.3950220641254,21.38438656462384,22244,0.7321801813663368,188.81,207.95,0.5241203750378062
66,Warwick Grove,Warwick Grove,4,4.5,5,4974.547833013156,154.88638037366528,0.2639486671679641,910.2621107159999,4844.253796948899,29.23440965542566,29951,0.932547466482343,174.16,155.85,0.47225841641162386
67,Whitsunday Plaza,Whitsunday Plaza,4,5.5,5,2513.789681846755,112.4989788250953,0,460.4571404980747,212.8429893948918,24.99977307224339,17093,0.7649586037144775,97.31,85.03,0.4663266425359219
68,TOTAL,,,,,641340.1939658079,264,4299.438236602491,102131.35456228832,230999.2424935271,54.70054601381511,2004625,0.83,18997.260000000006,21368.659999999996,0.5282445709801223
