Unnamed: 0,Industries of interest,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,"Resources Exposure at Default by type ($bn)1,2",Sep 23,Mar 23,Sep 22,Mar 22,,,,,
1,,Post2,,Pre revised capital framework,,,,,,
2,Oil & Gas Extraction (Lending exposures)3,1.09,1.15,1.53,1.91,,,,,
3,Oil & Gas Extraction (Other exposures)3,1.47,1.37,2.07,1.07,,,,,
4,Mining Services,1.5,1.41,1.47,1.4,,,,,
5,Other Mining,1.33,1.43,2.77,2.13,,,,,
6,Iron Ore Mining,1.2,1.13,0.84,0.95,,,,,
7,Thermal Coal Mining4,0.24,0.3,0.42,0.46,,,,,
8,Metallurgical Coal Mining,0.21,0.22,0.36,0.38,,,,,
9,Gold Ore Mining,0.46,0.5,0.57,0.81,,,,,
10,Total,7.49,7.51,10.03,9.11,,,,,
11,Resources Exposure at Default by type (%)1,Sep 23,Mar 23,Sep 22,Mar 22,,,,,
12,,Post2,,Pre revised capital framework,,,,,,
13,Oil & Gas Extraction (Lending exposures)3,0.15,0.15,0.15,0.21,,,,,
14,Oil & Gas Extraction (Other exposures)3,0.2,0.18,0.21,0.12,,,,,
15,Mining Services,0.2,0.19,0.15,0.15,,,,,
16,Other Mining,0.18,0.19,0.28,0.23,,,,,
17,Iron Ore Mining,0.16,0.15,0.08,0.11,,,,,
18,Thermal Coal Mining4,0.03,0.04,0.04,0.05,,,,,
19,Metallurgical Coal Mining,0.03,0.03,0.03,0.04,,,,,
20,Gold Ore Mining,0.06,0.07,0.06,0.09,,,,,
21,Total,1,1,1,1,,,,,
22,1. Numbers in table may not sum due to rounding.,,,,,,,,,
23,"2. From 1 January 2023, the revised capital framework has come into effect. The revised capital framework refers to revisions to APRA's capital adequacy and credit risk capital requirements for ADIs. The primary impact of this change on NAB's resources exposures is a reduction in EAD due to changes in the calculation of off-balance sheet EAD for certain undrawn commitments. For more information on the impact of the revised capital framework and impacts on NAB's reported EAD, see NAB's 2023 Pillar 3 report, available at https://www.nab.com.au/about-us/shareholder-centre/regulatory-disclosures.",,,,,,,,,
