Principles for Responsible Banking - self-assessment,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"NAB is a founding signatory of the Principles for Responsible Banking (PRB) and BNZ joined as a PRB subsidiary bank member in 2021. Through implementing the PRB principles, NAB and BNZ are working to align their business activities with the vision society has set out for its future in the Sustainable Development Goals and the Paris Climate Agreement. For detail on NAB's progress against the PRB see NAB's year four self-assessment at nab.com.au/about-us/social-impact/shareholders/performance-and-reporting, for details on BNZ’s progress against the PRB see BNZ’s latest self-assessment at bnz.co.nz/about-us/sustainability/reports.",,,,,
United Nations Guiding Principles Business and Human Rights - Salient Issues,,,,,
"We understand that human rights issues can arise in our own operations and when engaging with external parties, especially customer interactions, financing and investments, and our supply chain. Salient human rights issues can occur in a range of geographies where the Group operates or has business relationships. The need to consider human rights - including the salient issues below- is incorporated within the Group's Human Rights Policy and ESG Risk Management processes (refer Annual Report p53-55).

We identify salient human rights issues through our internal risk management and materiality review processes. We also regularly engage with civil society and other stakeholders who raise human rights issues with us. During the year, we participated in a range of multi-stakeholder forums like industry, government and civil society seminars, roundtables and working groups to discuss human rights and grow shared understanding of issues such as modern slavery.

How we are addressing salient human rights is described throughout this report and is summarised in the table below.",,,,,
Salient human rights issue,,Reference to Annual Report (unless otherwise stated),Reference 1,Reference 2,Reference 3
"Anti-discrimination, harassment and bullying",," - Anti-harassment and discrimination (p33-34)
 - Respecting human rights - Managing grievances (p50)
 - Website - Discrimination & Harassment guidelines 
 - Website - National Australia Bank Ltd Code of Conduct
 - Website - Human rights approach",link,link,link
Freedom of association and collective bargaining,," - Enterprise Agreement (p36)
 - Human rights areas of focus (p51)",,,
"Fair, equitable, diverse, inclusive and flexible employment practices",," - Employer of Choice Awards (p31)
 - Inclusion and Diversity (p32-34)
 - Progress against NAB's 2021-2025 Measurable Objectives (p35)
 - Sustainability Data Pack - Workforce tab
 - Website - Inclusion and diversity at NAB
 - Website - National Australia Bank Ltd Code of Conduct",link,link,
Financial literacy and inclusion,," - Inclusive banking (p27)
 - Website - Policies and approach
 - Website - Managing your financial health
 - Website - Financial assistance",link,link,link
"Health, safety, security and wellbeing",," - Health, safety and wellbeing (p36)
 - Website - National Australia Bank Ltd Code of Conduct
 - Website - Benefits of working at NAB",link,link,
Customer financial resilience and hardship,," - Financial hardship assistance (p26)
 - Accelerating our efforts to protect customers against scams and fraud (p27)
 - Supporting customers experiencing vulnerability (p26)
 - NAB Ready Together (p48)
 - Website - Policies and approach
 - Website - Managing your financial health
 - Website - Financial assistance",link,link,link
