CUSTOMER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Performance metric,Spreadsheet tab,,,
Number of customers,General,,,
Number of branches and business banking centres,General,,,
Number of ATMs   ,General,,,
Customer complaints,General,,,
Substantiated complaints received concerning breaches of customer privacy,General,,,
Number of critical and high priority technology incidents - Australia,General,,,
Customer advocacy – Net Promoter Score (NPS) results,General,,,
Financial inclusion metrics,Financial Health,,,
Financial hardship assistance - Australia,Financial Health,,,
Resources Exposure at Default by type,Exposures,,,
Electricity generation exposure at default by fuel source,Exposures,,,
"Group agricultural, forestry and fishing exposures by region",Exposures,,,
"Australian agricultural, forestry and fishing exposures by sector",Exposures,,,
Project Finance data for transactions triggering Equator Principles ,Financing,,,
Project Finance project name reporting,Financing,,,
Environmental finance by lending category,Financing,,,
Goal to align lending portfolio to net zero emissions by 2050,Financing,,,
Progress towards $6bn affordable and specialist housing 2029 target,Financing,,,
,,,,
PEOPLE,,,,
Performance metric,Spreadsheet tab,,,
Full-time equivalent colleagues,Workforce,,,
Workforce by contract type and gender (headcount),Workforce,,,
Colleague distribution by employment type,Workforce,,,
Colleague distribution by geographic region,Workforce,,,
Progress against 2021-2025 Inclusion and Diversity Measurable Objectives,Workforce,,,
Permanent workforce by employment level and gender,Workforce,,,
Permanent workforce by tenure and gender,Workforce,,,
Permanent workforce by age and gender,Workforce,,,
Permanent workforce age profile,Workforce,,,
Females in STEM-related positions,Workforce,,,
Workforce by gender identity,Workforce,,,
Workforce Transgender representation,Workforce,,,
Workforce Intersex representation ,Workforce,,,
Workforce Sexual Orientation ,Workforce,,,
People with disability,Workforce,,,
Indigenous workforce metrics,Workforce,,,
Race/ethnicity respresentation,Workforce,,,
Workforce with unpaid caring responsibilities,Workforce,,,
Workforce by carer type,Workforce,,,
Flexible Working Options Utilisation,Workforce,,,
Employee engagement,Culture,,,
Code of conduct breaches,Culture,,,
Whistleblower disclosures,Culture,,,
Colleague turnover rate,Culture,,,
High performer retention,Culture,,,
Hiring,Culture,,,
Parental leave - return to work rate (by gender),Culture,,,
Long term injury frequency rate (LTIFR),Culture,,,
Absenteeism,Culture,,,
Basic salary female to male ratio (by location),Remuneration,,,
New Zealand basic salary female to male ratio (using local pay scale bands),Remuneration,,,
Performance-related compensation as a percentage of total compensation,Remuneration,,,
Colleagues covered by collective bargaining agreements,Remuneration,,,
No. consultations/negotiations with trade unions over organisational change,Remuneration,,,
Employment pathways and development programs,Training,,,
Average training hours per colleague,Training,,,
,,,,
COMMUNITY,,,,
Performance metric,Spreadsheet tab,,,
Supply chain numbers,Supply Chain,,,
Community investment by category,Investment,,,
Community investment by region,Investment,,,
Breakdown of investment by focus area,Investment,,,
Volunteering days and in-kind value,Investment,,,
,,,,
ENVIRONMENT,,,,
Performance metric,Spreadsheet tab,,,
Environmental Statement of Position for the Group data,Position,,,
Environmental performance targets,Position,,,
Gross greenhouse gas emissions by activity,GHG Emissions,,,
GHG emissions by source,GHG Emissions,,,
GHG emissions by region,GHG Emissions,,,
GHG emissions by gas type,GHG Emissions,,,
Offset portfolio by project type for actual GHG emissions,GHG Emissions,,,
Direct and indirect energy consumption and production,Energy,,,
Net energy use by region,Energy,,,
Net energy consumption by fuel type,Energy,,,
Electricity consumption by region,Energy,,,
Renewable electricity ,Energy,,,
Other environmental performance indicators,Other,,,
Paper purchased by geography,Other,,,
Summary of emissions reduction and renewable energy opportunities,Other,,,
Examples of energy efficient and renewable energy opportunities implemented,Other,,,
