Supply chain numbers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Supply chain,2023.0,2022.0,2021.0,2020.0,2019.0,,,,,,
Spend on all suppliers ($bn)1,6.2,5.4,4.5,5.1,5.1,,,,,,
Number of contracted suppliers (Aus & NZ only),1866.0,1962.0,1239.0,1504.0,1830.0,,,,,,
Number of material suppliers2 (Aus & NZ only),186.0,114.0,90.0,48.0,74.0,,,,,,
Number of supply contracts entered into in the reporting period (Aus & NZ only),2475.0,2771.0,2932.0,4804.0,936.0,,,,,,
Number of diverse suppliers3 engaged (Aus only),48.0,35.0,35.0,36.0,57.0,,,,,,
"Spend with Diverse suppliers ($m) (Aus only)3,4",7.5,4.205,4.59,2.85,2.79,,,,,,
Spend with Indigenous suppliers ($m) (Aus only)4,6.0,4.08,4.34,2.4,1.5,,,,,,
"1. From 2022, figures include spend associated with the Group. Figures prior to 2022 are Australia only.",,,,,,,,,,,
"2. Material supplier includes all Material Outsource Suppliers and Material Not Outsource Suppliers in Australia. Material Outsourced suppliers has been defined in accordance with APRA Prudential Standard CPS 231 or regional equivalent, performs an outsourcing activity that has the potential, if disrupted, to have a significant impact on the Group’s business operations or its ability to manage risks effectively. 2021 and 2022 figures exclude New Zealand.",,,,,,,,,,,
"3. In 2023, NAB increased its resourcing and improved processes for recording and reporting on supplier diversity, allowing greater opportunity to identify pathways for spending with diverse suppliers including Indigenous suppliers. NAB’s spend with diverse suppliers increased to $7.5 million up from $4.2 million in 2022. Of this, $6m was to Indigenous suppliers, against NAB’s target to spend $5m with Indigenous suppliers in 2023. Diverse spend has 2 pathways to capture spend as follows: 
1) Diverse supplier engaged directly by NAB (Tier-1 or Direct Suppliers);  
2) Diverse supplier engaged through a NAB supplier as a subcontractor (Tier-2 or Directed Suppliers).",,,,,,,,,,,
4. Spend with diverse suppliers includes Indigenous business and excludes GST. 2022 and 2023 diverse supplier spend figures have been assurred by EY. Spend with Indigenous suppliers has been assured by EY since 2019.,,,,,,,,,,,
