Project Finance data for transactions triggering Equator Principles,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Breakdown by Category,,,,,,,,
,A,B,C,,,,,,
EP transactions closed during the period 1 October 2022 to 30 September 2023,1,3,2,,,,,,
By sector,A,B,C,,,,,,
Energy (gas-fired),,,,,,,,,
Energy (renewable),,3,,,,,,,
Oil & Gas,,,,,,,,,
"Infrastructure (road, rail, airports, ports, pipelines, and telecommunication)",,,1,,,,,,
"Social Infrastructure (schools, hospitals, prisons, and public buildings)",,,,,,,,,
Infrastructure (water),,,1,,,,,,
Mining and refining ,,,,,,,,,
Infrastructure (waste management),,,,,,,,,
Other (nitrogen-based fertiliser),1,,,,,,,,
By Region,A,B,C,,,,,,
Americas,,2,,,,,,,
"Europe, Middle East & Africa",,1,1,,,,,,
Asia Pacific,1,,1,,,,,,
By Country Type,A,B,C,,,,,,
Designated,1,3,2,,,,,,
Non-designated,,,,,,,,,
Independent Review1,A,B,C,,,,,,
Yes,1,3,1,,,,,,
No,,,1,,,,,,
1. Conducted in accordance with Principle 7 - Independent Review.,,,,,,,,,
Project Finance project name reporting,,,,,,,,,
Project Name,Calendar Year,Sector,Name of Host Country,,,,,,
Cardrona Valley Water Treatment Plant,2022,Infrastructure (water),New Zealand,,,,,,
Big Plain Solar PV,2023,Energy (renewable),USA,,,,,,
Double Black Diamond,2023,Energy (renewable),USA,,,,,,
Project Verdant,2023,Energy (renewable),UK,,,,,,
Perdaman Project Ceres,2023,Other ( nitrogen-based fertiliser),Australia,,,,,,
Vantage Data Centres,2023,Infrastructure (telecommunications),UK,,,,,,
,,,,,,,,,
Environmental financing1,,,,,,,,,
New 2023 lending drawn amounts as at 30 September,,,,2023,,,,,
"Green lending, green CRE (REIT) lending, sustainability-linked lending and securitisation activity2,3",,,,$m,,,,,
New 2023 green lending and green CRE (REIT) lending,,,,1926,,,,,
New 2023 securitisation activity,,,,92,,,,,
New 2023 sustainability linked-lending4,,,,601,,,,,
Total,,,,2619,,,,,
Drawn amounts as at 30 September,,,,2023,,,,,
Green agriculture and green asset finance lending activity,,,,$m,,,,,
Total green agriculture and asset finance,,,,82,,,,,
New 2023 activity as at 30 September,,,,2023,,,,,
Underwriting and arranging activities,,,,$m,,,,,
Total underwriting and arranging activities5,,,,1894,,,,,
Outstanding amounts as at 30 September,,,,2023,,,,,
Debt market activity,,,,$m,,,,,
Total green bonds6,,,,2003,,,,,
"1. From 2015 to 2022, a key measure of progress was our environmental financing target to provide $70 billion in financing activities to help address climate change and support the transition to a low carbon economy. We reached a cumulative total of $70.8 billion in 2022, exceeding the target three years ahead of schedule. NAB has retired the previous target methodology.",,,,,,,,,
"2. This includes CBI compliant lending and Green Bond Principles (GBP) aligned lending associated with NAB’s Green Bond Framework including renewables, green CRE (REIT), low carbon transport, water infrastructure, electrical grids and storage and forestry, land conservation and restoration.",,,,,,,,,
"3. In the 2023 financial year, the reported figure excludes green RMBS assets and other green labelled mortgage assets as the benchmark for these is being updated according to the National Construction Code (NCC) 2022 with uplift to NatHERS 7 Star as at 1 October 2023.",,,,,,,,,
"4. Drawn amount of NAB's full year 2023 sustainability-linked loan lending, based on proportion of KPIs that are environmentally related.",,,,,,,,,
5. Includes NAB’s proportional share of debt market instruments across all Joint Lead Managers where applicable. Includes bonds and asset-backed securities.,,,,,,,,,
6. Includes outstanding NAB’s Green Bonds and Green tranche RMBS issuances. Further detail on NAB’s Green Bonds can be found at capital.nab.com.au/green-and-sri-bonds,,,,,,,,,
,,,,,,,,,
Goal to align lending portfolio to net zero emissions by 20501,,,,,,,,,
,2021,2022,2023,,,,,,
Goal to align the Group's lending portfolio to net zero emissions by 2050,Emissions baseline estimate progressed,Targets published for 4 sectors,Targets published for 3 sectors,,,,,,
"1. NAB has set seven interim sector specific decarbonisation targets for 2030 with further targets planned by May 2024. In 2023, NAB set targets for iron and steel, aviation and aluminium lending portfolios, which are in line with NAB's NZBA commitment and pathways to net zero by 2050. 2023's targets follow NAB's 2022 release of decarbonisation targets for NAB's power generation, thermal coal, oil and gas, and cement lending portfolios. See 2023 Climate Report for details on targets, available at nab.com.au/annualreports.",,,,,,,,,
,,,,,,,,,
Affordable and specialist housing,,,,,,,,,
Affordable and specialist housing ($bn),2023,,,,,,,,
Progress on affordable and specialist housing financing target of cumulative $6 billion by 20291,2.2,,,,,,,,
"1. Affordable and specialist housing includes affordable housing, specialist disability accommodation and sustainable housing. This includes loans made under the First Home Guarantee and Family Home Guarantee, as part of the Home Guarantee Scheme for properties under the national median house price, and for borrowers with taxable income below the national median household income. Progress is based on total lending facilities committed, where first draw down occurred during the target period, or additional funding was provided during the target period for a pre-existing loan facility. This number does not reflect debt balance.",,,,,,,,,
