Sustainability Accounting Standards Board (SASB) Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Sector,Topic,Accounting Metric,Category,Unit of Measure,Code,Reference to Annual Report\n(unless otherwise stated),Reference 1,Reference 2,Reference 3,,,,,
COMMERCIAL BANKS,Data Security,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of account holders affected",Quantitative,"Number, Percentage (%)",FN-CB-230a.1,"Note: NAB is required to report notifiable data breaches to the Office of the Australian Information Commissioner (OAIC) when they occur. In 2023 NAB has not had data breaches involving personally identifiable information.\n\n- Technology, data and security (p43-46)\n- IT Security (p16 & 43)\n- Website: Privacy policy\n- Website: NAB Security",link,link,link,,,,,
,,Description of approach to identifying and addressing data security risks,Discussion and Analysis,,FN-CB-230a.2,"- Technology, data and security (p43-46)",link,,,,,,,
,Financial Inclusion & Capacity Building,(1) Number and (2) amount of loans outstanding qualified to programs designed to promote small business and community development,Quantitative,"Number, Reporting currency",FN-CB-240a.1,"- Sustainability approach (p21-25)\n- Customers (p26-29)\n- Helping our communities prosper (p47-54)\n- Sustainability Data Pack - Financial Health, Supply Chain, and Investment",link,,,,,,,
,,(1) Number and (2) amount of past due and nonaccrual loans qualified to programs designed to promote small business and community development,Quantitative,"Number, Reporting currency",FN-CB-240a.2,- Sustainability approach (p21-25)\n- Customers (p26-29)\n- Helping our communities prosper (p47-54)\n- Sustainability Data Pack - Financial Health,link,,,,,,,
,,Number of no-cost retail checking accounts provided to previously unbanked or underbanked customers,Quantitative,Number,FN-CB-240a.3,- Sustainability Data Pack - Investment,link,,,,,,,
,,"Number of participants in financial literacy initiatives for unbanked, underbanked, or underserved customers",Quantitative,Number,FN-CB-240a.4,"- Sustainability Data Pack - Training, Financial Health, and Investment",link,,,,,,,
,"Incorporation of Environmental, Social, and Governance Factors in Credit Analysis","Commercial and industrial credit exposure, by industry",Quantitative,Reporting Currency,FN-CB-410a.1,- 2023 Pillar 3 report - Table 5.1.D Credit Risk Exposures by Industry,link,,,,,,,
,,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in credit analysis",Discussion and Analysis,,FN-CB-410a.2,"- Sustainability approach (p21-25)\n- Climate Report - Governance (p18-20), Risk Management (p21-29)",link,,,,,,,
,Business Ethics,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations",Quantitative,Reporting Currency,FN-CB-510a.1,- Note 31 Commitments and contingent liabilities (p233-237),link,,,,,,,
,,Description of whistleblower policies and procedures,Discussion and Analysis,,FN-CB-510a.2,- Sustainability Data Pack - Culture,link,,,,,,,
,Systemic Risk Management,"Global Systemically Important Bank (G-SIB) score, by category",Quantitative,Basis points (bps),FN-CB-550a.1,- Website: Regulatory disclosures,link,,,,,,,
,,"Description of approach to incorporation of results of mandatory and voluntary stress tests into capital adequacy planning, long-term corporate strategy, and other business activities",Discussion and Analysis,,FN-CB-550a.2,"- Sustainability approach (p21-25)\n- Climate Report - Governance (p18-20), Risk Management (p21-29)",link,,,,,,,
,,ACTIVITY METRIC,Category,UNIT OF MEASURE,CODE,,,,,,,,,
,,(1) Number and (2) value of checking and savings accounts by segment: (a) personal and (b) small business,Quantitative,"Number, Reporting currency",FN-CB-000.A,- Management Discussion and Analysis - Section 3 - Divisional Review (p33 - 43),link,,,,,,,
,,"(1) Number and (2) value of loans by segment: (a) personal, (b) small business, and (c) corporate",Quantitative,"Number, Reporting currency",FN-CB-000.B,- Management Discussion and Analysis - Section 3 - Divisional Review (p33 - 43),link,,,,,,,
Sector,Topic,Accounting Metric,Category,Unit of Measure,Code,Reference to Annual Report\n(unless otherwise stated),Reference 1,Reference 2,Reference 3,,,,,
MORTGAGE FINANCE,Lending Practices,"(1) Number and (2) value of residential mortgages of the following types: (a) Hybrid or Option Adjustable-rate Mortgages (ARM), (b) Prepayment Penalty, (c) Higher Rate, (d) Total, by FICO scores above or below 660",Quantitative,"Number, Reporting currency",FN-MF-270a.1,Note: The Australian lending system does not use FICO scores to assess home loan applications.\n\n- Investor Presentation - Australian Housing Lending (p69),link,,,,,,,
,,"(1) Number and (2) value of (a) residential mortgage modifications, (b) foreclosures, and\n(c) short sales or deeds in lieu of foreclosure, by FICO scores above and below 660",Quantitative,"Number, Reporting currency",FN-MF-270a.2,Note: The Australian lending system does not use FICO scores to assess home loan applications.\n\n- Investor Presentation - Australian Housing Lending (p69),link,,,,,,,
