Colleague engagement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Colleague engagement,2023,2022,2021,,,,,,,,,,,
Colleague engagement score1,78,76,77,,,,,,,,,,,
Response rate,0.83,0.84,0.84,,,,,,,,,,,
"1. 2023 Employee Engagement Survey conducted by Glint, score based in July 2023 survey. Includes Australia and New Zealand colleagues, population excludes ubank, external consultants and outsource service providers.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Conduct and whistleblowing - Australia,,,,,,,,,,,,,,
"Code of conduct breaches by outcomes and consequences1,2",2023,2022,2021,2020,2019,,,,,,,,,
Warning or counselling / remedial actions,5787,5405,4340,880,986,,,,,,,,,
"VRR, In Year Performance Rating, Not Eligible for Promotion3",151,167,207,DNR,DNR,,,,,,,,,
Resignation,62,50,86,137,168,,,,,,,,,
Termination,79,91,107,88,124,,,,,,,,,
Ex-employees4,5,2,,,,,,,,,,,,
Total number of breaches of Code of Conduct,6084,5715,4740,1105,1278,,,,,,,,,
"1. The Employee Conduct Management framework was updated on the 1st October 2020. The framework is values and principles led. Focused on: Fairness — each matter is assessed on its own merit, Consistency — every colleague is held to account, and Proportionality — consequences match the severity of the misconduct. Previously our reporting focused only on significant cases that needed to escalated, therefore figures in 2019 and 2020 are not comparable with those reported from 2021. The increase in cases year on year may not necessarily reflect worse behaviour but more complete data as we continue to improve consistency and record all minor and mild matters independently managed by People Leaders.",,,,,,,,,,,,,,
"2. A single conduct case often has multiple outcomes, for example a Warning Letter and a % reduction in Variable Reward. The outcome counts shown here reflect the single, most significant outcome recorded for each case. ",,,,,,,,,,,,,,
3. The Variable Reward Reduction (VRR) ranges from 5%-100%.,,,,,,,,,,,,,,
"4. In 2023 five ex-employee had conduct breaches identified after their departure from NAB so these cases have been recorded but without any Outcomes, as no Outcomes can be applied to ex-employees. Only 2022 figures have been restated to reflect ex-employees. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Code of Conduct breaches by category,,,,,,,,,,,,,,
Code of Conduct pillars1,"Conduct matters include, but not limited to:",2023,2022,2021,,,,,,,,,,
Colleagues,"• Discrimination, Harassment and Workplace Bullying
• Inappropriate use of information Systems
• Mandatory training
• Other Personal Conduct",1316,1556,2442,,,,,,,,,,
Customers and Communities2,"• Fraud / Theft / Corruption
• Non-compliant calls
• Other Policy & Procedural breaches
• Privacy / Confidentiality / Access / Disclosure",1276,1550,267,,,,,,,,,,
Governance and Risk,"• Banking Policy or Guidelines Breach
• Conflict of Interest
• Data loss / Information Security Breach
• Other Personal Conduct
• Other Policy & Procedural breaches",3320,2484,2031,,,,,,,,,,
Leadership Expectations,• Leadership Expectations,172,125,0,,,,,,,,,,
Total number of breaches of Code of Conduct,,6084,5715,4740,,,,,,,,,,
"1. Includes cases where the conduct breach was substantiated but outcome not applicable as the colleague had since left NAB. 2023 figures include 5 cases, 2022 figures include 2 cases.",,,,,,,,,,,,,,
