"Environmental Statement of Position for the Group data1,2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Indicator,Units,2023,2022,2021,2020,2019,,,,,,,,
Colleague numbers3,FTE,36584,33082,35157,34879,33867,,,,,,,,
Property space occupied3,m²,579574,608386,700702,696362,722497,,,,,,,,
Total operating expense4,$m,-9023,-8274,-7817,-7679,-7528,,,,,,,,
"Underlying profit4,5",$m,11631,10022,8989,8183,9294,,,,,,,,
"Water use (estimate)6, 7",kL,181331,165989,195552,308912,391050,,,,,,,,
"Waste to landfill (estimate)6,9",tonnes,620,626,738,1451,1871,,,,,,,,
"Office paper purchased (A3, A4, A5)8",tonnes,188,168,233,397,511,,,,,,,,
Net energy consumption9,GJ,393471,397068.6572770001,493184,617414,696722,,,,,,,,
"Gross GHG emissions (Scope 1, 2 and 3) prior to renewable energy purchase10",(tCO2-e),118988,118654,132631,159375,175043,,,,,,,,
"1. Environmental reporting year runs from 1 July – 30 June, in line with the National Greenhouse and Energy Reporting Act 2007 (Cth). ",,,,,,,,,,,,,,
"2. KPMG has provided assurance on specified GHG emissions and offset data presented in this Data Pack, the 2023 Annual Report and the 2023 Climate Report. Visit our website for copies of KPMG's assurance reports and more information: https://www.nab.com.au/about-us/social-impact/shareholders/environmental-performance.",,,,,,,,,,,,,,
3. The values shown for ‘Colleague numbers’ and ‘Property space occupied’ shown in the Environmental Statement of Position for the Group represent an annual average of FTE and m² respectively across the period from 1 July to 30 June each year.,,,,,,,,,,,,,,
"4. 'Total operating expense' and 'Underlying profit' correspond to NAB’s financial year, ending 30 September. Information is presented on a continuing operations basis, unless otherwise stated. Please refer to NAB's 2023 Full Year Results Announcement (available at nab.com.au) for a more further information on discontinued operations.",,,,,,,,,,,,,,
5. Use of Underlying Profit as a metric (rather than measures of profit or economic activity) for normalisation of our environmental performance data allows for meaningful comparison to prior years’ data and to financial intensity measures used in our CDP disclosures due to the nature of our underlying business activities. Please refer to Group’s 2023 Full Year Results Announcement (available at www.nab.com.au) for a more detailed explanation of the elements comprising the Underlying Profit.,,,,,,,,,,,,,,
6. 'Water use' and 'Waste to landfill' numbers include India but exclude other parts of Asia.,,,,,,,,,,,,,,
7. 'Water use' refers to potable and waste water from utilities and harvested water collected onsite.,,,,,,,,,,,,,,
8. Office paper for 2019 includes A3 and A4 paper only.,,,,,,,,,,,,,,
9. 2022 figures restated due to the change in electricity consumption for BNZ. ,,,,,,,,,,,,,,
10. BNZ’s 2022 emissions were restated to reflect minor changes. BNZ's Scope 2 emissions increased by 147 tCO2-e and Scope 3 emissions increased by 41 tCO2-e to account for a change in the electricity emissions factor due to MfE’s August 2022 release of ‘Measuring emissions: A guide for organisations: 2022 summary of emission factors’ and improved accuracy of water data in 2023 following release of 2022 accruals. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2020-2030 Environmental performance targets1,2",,,,,,,,,,,,,,
Indicator,2023 actual,2023 reduction,Target date,Target (%),"2019/2022 baseline1,2,4",Status,,,,,,,,
Scope 1 and 2 (market-based method) Science-based GHG emissions (tCO2-e)3,15041,-0.35,2030,▼72,23018,On track,,,,,,,,
Gross energy use (GJ),401137,-0.47,2025,▼30,759096,On track,,,,,,,,
"Office paper (A3, A4 & A5) (tonnes)",188,-0.63,2025,▼20,514,On track,,,,,,,,
Customer eStatements (proportion online only - Aus & BNZ only),0.74,,2025,▲to 80,0.64,On track,,,,,,,,
Water use (potable water withdrawal) (kL),181331,-0.53,2025,▼5,385005,On track,,,,,,,,
Waste to Landfill (tonnes),620,-0.67,2025,▼10,1871,On track,,,,,,,,
Vehicle Fuels (GJ) (Aus & BNZ only),76085,-0.37,2025,▼50,120686,Slow progress,,,,,,,,
"1. In 2023, the Group updated its Scope 1 and 2 (market-based method) science-based GHG emissions reduction target to align its ambition to be net zero by 2050 with the best available science and pathway for a 1.5°C warming scenario. The Group's new target is for a 72% reduction in market-based Scope 1 and 2 emissions by 2030 from a 2022 baseline, and includes all direct GHG emissions (Scope 1) and indirect GHG emissions from consumption of purchased electricity (Scope 2) across all GHGs required under the GHG Protocol Corporate Standard. The target has been prepared in accordance with the Sectoral Decarbonisation Approach (SDA) 'Services Buildings’ methodology published by the Science Based Targets initiative (SBTi) and SBTi target setting tool, v2.1.2. It aligns with a well-below 1.5°C scenario.",,,,,,,,,,,,,,
"2. Except for Scope 1 and 2 (market-based method) science-based GHG emissions reduction target, other environmental performance targets have not been re-baselined. Baseline figures include data from MLC Wealth operations as NAB had operational control at the time of calculation. As the divestment from MLC Wealth did not have a material impact on the baseline figures, these have not been restated. ",,,,,,,,,,,,,,
