Employment pathways and development programs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Indigenous Employment Program,2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,
Number of internships provided annually to Indigenous Australians currently completing tertiary study1,13,8,18,12,10,,,,,,,,,,,,,,,,,,
Number of flexible traineeships provided annually across both school-based and adult trainees,25,21,42,65,76,,,,,,,,,,,,,,,,,,
Percentage of completion rate of Indigenous trainees on programs2,0.62,0.88,0.61,0.66,0.6,,,,,,,,,,,,,,,,,,
1. Total numbers of internship opportunities provided across the year e.g. if a student was to complete both a Winter and Summer internship this is counted as 2 internship opportunities. ,,,,,,,,,,,,,,,,,,,,,,,
2. Traineeships completion rate represents the total number of trainees who completed the requirements of their traineeships and were due to finish their program during the financial year or completed the program early.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Welcome to NAB, Job Ready and Professional Banking Fundamentals1 - number of participants",2023,2022,2021,2020,,,,,,,,,,,,,,,,,,,
Welcome to NAB,2496,2213,1197,1097,,,,,,,,,,,,,,,,,,,
Job Ready,2013,8419,1110,853,,,,,,,,,,,,,,,,,,,
Career Qualified in Banking (CQiB)2,6262,6286,2121,DNR,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Leadership programs - number of participants,2023,2022,2021,2020,,,,,,,,,,,,,,,,,,,
Inclusion Ready3,28279,7045,10114,2199,,,,,,,,,,,,,,,,,,,
Distinctive Leadership4,1635,3029,1179,DNR,,,,,,,,,,,,,,,,,,,
"1. Welcome to NAB is a full day event designed for all new starters as an introduction to NAB. Job Ready is a specialised induction training program for new colleagues. Professional Banking Fundamentals is being deployed to all permanent colleagues over a 4-year period and is designed to build on fundamental banking skills, capabilities and confidence. ",,,,,,,,,,,,,,,,,,,,,,,
2. Data represents the distinct headcount of colleagues that completed the Career Qualified in Banking (CQiB) program in each year. ,,,,,,,,,,,,,,,,,,,,,,,
"3. Inclusion Ready represents NAB's suite of training programs to build an inclusive workplace. Programs include learning for supporting vulnerable customers, equality, diversity & inclusion training and LBGTQI+. 2023 increase is driven by the introduction of 'Indigenous cultural awareness' program.",,,,,,,,,,,,,,,,,,,,,,,
"4. Distinctive Leadership is a world-standard leadership program for every single leader across our workforce. This program provides a consistent approach to how we lead, manage and coach our colleagues.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Graduate program retention - % that remain employed1,2",2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,
Australia,,80.2,88.4,69.7,71.3,,,,,,,,,,,,,,,,,,
New Zealand,,97.5,100,83.7,60.3,,,,,,,,,,,,,,,,,,
"1. Graduate cohort retention is the percentage of each Graduate cohort that are still employed by NAB at 30 September 2023, since starting their respective programs (i.e. attrition during and after the completion of the program). ",,,,,,,,,,,,,,,,,,,,,,,
2. 2023 graduates are still completing their program and therefore are not included in the retention statistics. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Capability and training - Australia (by level)1,2023,,2022,,2021,,2020,,,,,,,,,,,,,,,,
,Female,Male,Female,Male,Female,Male,Female,Male,,,,,,,,,,,,,,,
Average training hours per colleague by level2,,,,,,,,,,,,,,,,,,,,,,,
Group 7 (Executive Leadership Team),14,16.571428571428573,42.72586527274241,64.33657320102303,69,35,8,3,,,,,,,,,,,,,,,
Group 6 (Executive General Managers),27.48046875,27.227192982456142,52.84140237819246,61.852063325315676,30,28,7,4,,,,,,,,,,,,,,,
Group 5 (Head of functions),30.14842857142857,35.533015597920276,52.71583485214492,69.36973967768107,26,22,8,5,,,,,,,,,,,,,,,
Group 4 (Managers),28.744610415825594,32.09434592649705,47.24718045651494,61.132045165423456,22,20,8,6,,,,,,,,,,,,,,,
Group 3 (Consultants/Junior management),36.354293770827994,38.26106701940035,56.00892600716829,66.48023039158114,22,26,8,8,,,,,,,,,,,,,,,
Group 2 (Analyst/Team Leader),33.00250391236307,35.752644451238154,52.051286377782375,62.28630310911187,17,17,6,8,,,,,,,,,,,,,,,
Group 1 (Team member/officer),44.81873340917709,55.42166246851386,48.807071942984315,55.22808145613608,16,17,5,9,,,,,,,,,,,,,,,
Total average training hours per colleague3,28,,59,,24,,9,,,,,,,,,,,,,,,,
1. Average training hours include both formal training and development hours captured in our Learning Management System (LMS) as well as self-directed learning and digital learning through external providers or other channels (e.g. NAB Workplace and LinkedIn Learning).,,,,,,,,,,,,,,,,,,,,,,,
"2. Significant increase in hours since 2020 largely driven by the inclusion of the Professional Banking Fundamentals and Distinctive Leadership programs, both of which commenced in 2021.",,,,,,,,,,,,,,,,,,,,,,,
3. Total average training hours per colleague includes training hours completed by colleagues whose Group level information is not captured. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Capability and training - New Zealand (by level),2023,,2022,,2021,,2020,,,,,,,,,,,,,,,,
,Female,Male,Female,Male,Female,Male,Female,Male,,,,,,,,,,,,,,,
Average training hours per colleague by level1,,,,,,,,,,,,,,,,,,,,,,,
Group 7 (Executive Leadership Team),,45,27,0,109,0,11,,,,,,,,,,,,,,,,
Group 6 (Executive General Managers),16,13,19,11,62,75,11.6,13.6,,,,,,,,,,,,,,,
Group 5 (Head of functions),17,21,34,28,58,59,23,28,,,,,,,,,,,,,,,
Group 4 (Managers),24,27,30,39,40,39,22.6,27.5,,,,,,,,,,,,,,,
Group 3 (Consultants/Junior management),22,21,31,31,31,25,20.7,20.6,,,,,,,,,,,,,,,
Group 2 (Analyst/Team Leader),37,41,49,47,45,43,29.1,25.7,,,,,,,,,,,,,,,
Group 1 (Team member/officer),69,56,36,28,43,48,29,38,,,,,,,,,,,,,,,
Total average training hours per colleague2,31,,38,,38,,26,,,,,,,,,,,,,,,,
"1. Average training hours include both formal training and development hours captured in our Learning Management System (LMS) as well as self-directed learning and digital learning through external providers or other channels (e.g. NAB Workplace and LinkedIn Learning). Significant increase in hours in 2021 largely driven by an increase in online learning opportunities, improvements in training data capture and the commencement of Professional Banking Fundamentals and Distinctive Leadership programs.",,,,,,,,,,,,,,,,,,,,,,,
2. Total average training hours per colleague includes training hours completed by colleagues whose Group level information is not captured. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total number of training hours provided1,2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,
Australia,1052108,1707963,682341,255137,507106,,,,,,,,,,,,,,,,,,
New Zealand,217772,218640,203657,138704,130781,,,,,,,,,,,,,,,,,,
Total,1269880,1926603,885998,393841,637887,,,,,,,,,,,,,,,,,,
"1. Since 2020, average training hours include both formal training and development hours captured in our Learning Management System (LMS) as well as self-directed learning and digital learning through external providers or other channels (e.g. NAB Workplace and LinkedIn Learning). 2019 figures include training hours as captured in LMS only and have not been restated.",,,,,,,,,,,,,,,,,,,,,,,
