Unnamed: 0,Customers - Numbers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
0,Customer information,2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Number of customers (millions)1,10.8,10.5,8.4,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Number of branches and business banking centres2,643,715,748,852,892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Number of ATMs,1098,1381,1482,1572,1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1. Includes Australian and New Zealand customers. The increase in customer numbers between 2021 and 2022 is primarily driven by the acquisition of Citi consumer business.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2. Data represents Ã¢ÂÂpoints of presenceÃ¢ÂÂ or physical locations of branches and business banking centres in Australia and New Zealand, to avoid double-counting branches and business banking centres at the same address. 2019 number represents Group footprint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Customer complaints,2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Total number of customer complaints - Australia1,455548,327721,207583,209482,216036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Total number of customer complaints - New Zealand,14580,14281,14784,12945,10678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Total customer complaints,470128,342002,222367,222427,226714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Total number of complaints referred by customers to ombudsmen/external dispute resolution bodies - Australia1,2",9224,6392,4404,4669,4233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Total number of complaints referred by customers to ombudsmen/external dispute resolution bodies - New Zealand2,31,4,14,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Total complaints referred by customers to ombudsmen/external dispute resolution bodies,9255,6396,4418,4688,4247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1. From 2022, figures include customer complaints associated with Citi consumer business and from 2023, figures include Citi consumer business and ubank. 2022 figures have not been assured by EY.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2. These complaints are those received via the Australian Financial Complaints Authority (AFCA) in Australia and the Banking Ombudsmen Scheme in New Zealand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Substantiated customer privacy complaints received1,2023,2022,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"From ombudsmen/external dispute resolution bodies - Australia2,3",85,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,From ombudsmen/external dispute resolution bodies - New Zealand2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"1. A substantiated complaint is a written statement by regulatory or similar official body addressed to the organisation that identifies breaches of customer privacy, or a complaint lodged with the organization that has been recognized as legitimate by the organization (as defined in GRI Sustainability Reporting Standards 418 Customer Privacy, relating to GRI disclosure 418-1).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2. These complaints are those received via the Australian Financial Complaints Authority (AFCA) in Australia and the Banking Ombudsmen Scheme in New Zealand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"3. From 2022, figures include customer complaints associated with Citi consumer business and from 2023, figures include Citi consumer business and ubank. 2022 figures have not been assured by EY.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Number of critical and high priority technology incidents - Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Type1,2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Critical,1,4,2,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,High,18,19,25,39,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1. Critical priority incidents: significant impact or outages to customer facing service or payment channels. High priority incidents: functionality impact to customer facing service or impact/outage to internal systems.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Customer advocacy Ã¢ÂÂ Net Promoter Score results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NPS score,2023,2022,2021,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Australia1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Consumer - excluding HNW & MA2,-2,0,-1,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Business3,5,-5,-3,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,High Net Worth & Mass Affluent4,-7,-5,1,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,New Zealand5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Consumer,28,34,36,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Business,-10,-16,-16,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"1. Net PromoterÃÂ® and NPSÃÂ® are registered trademarks and Net Promoter Score and Net Promoter Systems are trademarks of Bain & Company, Inc., NICE Systems, Inc., and Fred Reichheld. Figures prior to 2022 have not been assured by EY.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"2. Sourced from DBM Consumer Atlas (part of RFI Global), measured on 6 month rolling average. Consumer NPS excludes consumers with Personal income of $260k+ and/or investible assets $1m+.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"3. Sourced from DBM Business Atlas (part of RFI Global), measured on 6 month rolling average. Business NPS is based on equal (25:25:25:25) combined weighting of NAB turnover segments: Micro (Up to $100k turnover), Small ($100k - $5m turnover), Medium ($5m - $50m turnover), Large ($50m+).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
