Unnamed: 0,Gross greenhouse gas emissions by activity1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,GHG emissions (tCO2-e),% change from prior year,2023,2022,2021,2020,2019,,,,,,,,,,,,,,,
1,Location based,,,,,,,,,,,,,,,,,,,,,
2,Scope 1,,,,,,,,,,,,,,,,,,,,,
3,Building-based refrigerants Ã¢ÂÂ in HVAC and refrigerators,,1519,1357,1584,1630,1619,,,,,,,,,,,,,,,
4,Business travel - vehicle fleet and status-use vehicles,,5293,4582,5818,6885,8483,,,,,,,,,,,,,,,
5,"Stationary energy - combustion of fuel: diesel, gas, propane",,677,604,3199,7811,8976,,,,,,,,,,,,,,,
6,Vehicle air conditioning refrigerant,,101,76,220,252,130,,,,,,,,,,,,,,,
7,Total scope 1,Ã¢ÂÂ²15%,7590,6619,10821,16579,19208,,,,,,,,,,,,,,,
8,Scope 2,,,,,,,,,,,,,,,,,,,,,
9,Electricity2,Ã¢ÂÂ¼17%,57320,69015,74850,79711,90463,,,,,,,,,,,,,,,
10,Scope 3,,,,,,,,,,,,,,,,,,,,,
11,"A3, A4 and A5 paper purchased",,194,128,5,36,17,,,,,,,,,,,,,,,
12,"Base-building energy use - combustion of fuel: diesel, gas2",,1512,1463,1326,1535,1730,,,,,,,,,,,,,,,
13,Base-building & 3rd party data centre energy - electricity2,,7273,10823,12493,15491,16897,,,,,,,,,,,,,,,
14,Business travel - air3,,18616,4267,2539,22154,23154,,,,,,,,,,,,,,,
15,Business travel Ã¢ÂÂ hotel stays,,1574,554,472,2792,3843,,,,,,,,,,,,,,,
16,"Courier, Postage and Freight4",,4245,453,1038,1433,1409,,,,,,,,,,,,,,,
17,Other business travel5,,2499,1063,1265,2224,3000,,,,,,,,,,,,,,,
18,Offsite energy - electricity (BNZ & UK only)2,,185,244,283,44,DNR,,,,,,,,,,,,,,,
19,Paper Statements (Non Carbon Neutral) (BNZ only),,130.93214300000002,147,174,196,145,,,,,,,,,,,,,,,
20,"Transmission losses - base-building energy: diesel, gas, electricity2",,896,1259,1595,1815,2036,,,,,,,,,,,,,,,
21,Transmission losses - offsite electricity (BNZ & UK only)2,,47,38,50,10,DNR,,,,,,,,,,,,,,,
22,"Transmission and distribution losses & WTT - stationary energy: diesel, gas, propane, electricity2",,5754,7248,8853,9042,10331,,,,,,,,,,,,,,,
23,Transmission losses - work-use vehicles fleet: electricity (BNZ only)6,,0.0022,0.0023,0.0021,0.00017,DNR,,,,,,,,,,,,,,,
24,Vechicle fleet - electricity,,32,4,DNR,DNR,DNR,,,,,,,,,,,,,,,
25,Waste to incineration (UK & Japan only),,38,9,14,685,154,,,,,,,,,,,,,,,
26,Waste to landfill7,,774,791,909,1681,2165,,,,,,,,,,,,,,,
27,Materials Recycled/Diverted from landfill (BNZ only),,4,2,6,7,15,,,,,,,,,,,,,,,
28,Water use,,191,172,178,322,450,,,,,,,,,,,,,,,
29,Wastewater (BNZ only)2,,18,14,17,21,25,,,,,,,,,,,,,,,
30,Working from home energy,,10096,14340,15744,3597,DNR,,,,,,,,,,,,,,,
31,Total scope 38,Ã¢ÂÂ²26%,54078,43020,46960,63085,65372,,,,,,,,,,,,,,,
32,"Gross GHG emissions (Scope 1, 2 and 3) prior to renewable energy purchase9",-,118988,118654,132631,159375,175043,,,,,,,,,,,,,,,
33,Renewable electricity purchased,,N/A12,-40997,-20651,-8463,-3360,,,,,,,,,,,,,,,
34,Carbon offsets retired9,,N/A12,-77656,-111979,-150912,-171683,,,,,,,,,,,,,,,
35,Net GHG emissions (carbon neutral),-,N/A12,0,0,0,0,,,,,,,,,,,,,,,
38,GHG emissions (tCO2-e)1,2023,2022,,,,,,,,,,,,,,,,,,,
39,Market-based,,,,,,,,,,,,,,,,,,,,,
40,Scope 1,7590,6619,,,,,,,,,,,,,,,,,,,
41,Scope 29,7451,16399,,,,,,,,,,,,,,,,,,,
42,Scope 3,49525,37811,,,,,,,,,,,,,,,,,,,
43,Total9 10,64566,60829,,,,,,,,,,,,,,,,,,,
44,Carbon offsets retired11,-64566,N/A12,,,,,,,,,,,,,,,,,,,
45,Net GHG emissions (carbon neutral),0,N/A12,,,,,,,,,,,,,,,,,,,
46,"1. All activities include emissions generated in Australia unless stated otherwise. Figures include emissions associated with Citi consumer business, Europe, Vietnam and India operations, where relevant from 2022. For detail on the Group's greenhouse gas inventory, see the 2023 Climate Report available at nab.com.au/annualreports or refer to https://www.nab.com.au/about-us/social-impact/environment/climate-change.",,,,,,,,,,,,,,,,,,,,,
47,2. BNZÃ¢ÂÂs 2022 emissions were restated to reflect minor changes. BNZ's Scope 2 emissions increased by 147 tCO2-e and Scope 3 emissions increased by 41 tCO2-e to account for a change in the electricity emissions factor due to MfEÃ¢ÂÂs August 2022 release of Ã¢ÂÂMeasuring emissions: A guide for organisations: 2022 summary of emission factorsÃ¢ÂÂ and improved accuracy of water data in 2023 following release of 2022 accruals. The net change in total BNZ GHG emissions after accounting for renewable energy is 76 tCO2-e.,,,,,,,,,,,,,,,,,,,,,
48,"3. Business travel air includes DBEISÃ¢ÂÂs required distance uplift and from 2020, are inclusive of radiative forcing (all operations).",,,,,,,,,,,,,,,,,,,,,
49,"4. Historical figures 2021-2019 have been restated to include emissions from these categories for BNZ. From 2023, NAB has reported emissions under this category.",,,,,,,,,,,,,,,,,,,,,
50,"5. Other business travel includes colleague vehicles, rail (UK, Europe and Japan), rental cars, taxi use and work use vehicles.",,,,,,,,,,,,,,,,,,,,,
51,6. 2020-2021 figures have been restated to account for BNZ data.,,,,,,,,,,,,,,,,,,,,,
52,7. Historical figures restated to account for additional waste data from JBWere NZ.,,,,,,,,,,,,,,,,,,,,,
53,8. NAB excludes 'Employee commute' from its operational emissions boundary in 2023. NAB is currently compiling data and developing its methodology to estimate emissions associated with 'Employee commute' and will engage with stakeholders on this work in 2024. See p79-80 of NABÃ¢ÂÂs 2023 Climate Report for further information.,,,,,,,,,,,,,,,,,,,,,
