Gross greenhouse gas emissions by activity1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
GHG emissions (tCO2-e),% change from prior year,2023,2022,2021,2020,2019,,,,,,,,,,,,,,,
Location based,,,,,,,,,,,,,,,,,,,,,
Scope 1,,,,,,,,,,,,,,,,,,,,,
Building-based refrigerants – in HVAC and refrigerators,,1519,1357,1584,1630,1619,,,,,,,,,,,,,,,
Business travel - vehicle fleet and status-use vehicles,,5293,4582,5818,6885,8483,,,,,,,,,,,,,,,
"Stationary energy - combustion of fuel: diesel, gas, propane",,677,604,3199,7811,8976,,,,,,,,,,,,,,,
Vehicle air conditioning refrigerant,,101,76,220,252,130,,,,,,,,,,,,,,,
Total scope 1,▲15%,7590,6619,10821,16579,19208,,,,,,,,,,,,,,,
Scope 2,,,,,,,,,,,,,,,,,,,,,
Electricity2,▼17%,57320,69015,74850,79711,90463,,,,,,,,,,,,,,,
Scope 3,,,,,,,,,,,,,,,,,,,,,
"A3, A4 and A5 paper purchased",,194,128,5,36,17,,,,,,,,,,,,,,,
"Base-building energy use - combustion of fuel: diesel, gas2",,1512,1463,1326,1535,1730,,,,,,,,,,,,,,,
Base-building & 3rd party data centre energy - electricity2,,7273,10823,12493,15491,16897,,,,,,,,,,,,,,,
Business travel - air3,,18616,4267,2539,22154,23154,,,,,,,,,,,,,,,
Business travel – hotel stays,,1574,554,472,2792,3843,,,,,,,,,,,,,,,
"Courier, Postage and Freight4",,4245,453,1038,1433,1409,,,,,,,,,,,,,,,
Other business travel5,,2499,1063,1265,2224,3000,,,,,,,,,,,,,,,
Offsite energy - electricity (BNZ & UK only)2,,185,244,283,44,DNR,,,,,,,,,,,,,,,
