Global Reporting Initiative (GRI) Standards index (GRI universal standards 2021),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Disclosure 302-5 Reductions in energy requirements of products and services,Sustainability Data Pack - Energy,link,78,,,
GRI 303: Water and Effluents 2018,Disclosure 303-1 Interactions with water as a shared resource,Sustainability Data Pack - Position,link,78,,,
,Disclosure 303-2 Management of water discharge-related impacts,Sustainability Data Pack - Position,link,78,,,
,Disclosure 303-3 Water withdrawal,Sustainability Data Pack - Position,link,78,,,
,Disclosure 303-4 Water discharge,Sustainability Data Pack - Position,link,78,,,
,Disclosure 303-5 Water consumption,Sustainability Data Pack - Position,link,78,,,
GRI 304: Biodiversity 2016,"Disclosure 304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",Biodiversity and natural capital (p40-42),link,78,,,
,"Disclosure 304-2 Significant impacts of activities, products and services on biodiversity",Biodiversity and natural capital (p40-42),link,78,,,
,Disclosure 304-3 Habitats protected or restored,Biodiversity and natural capital (p40-42),link,78,,,
GRI 305: Emissions 2016,Disclosure 305-1 Direct (Scope 1) GHG emissions,Sustainability Data Pack - GHG Emissions,link,78,,,
,Disclosure 305-2 Energy indirect (Scope 2) GHG emissions,Sustainability Data Pack - GHG Emissions,link,78,,,
,Disclosure 305-3 Other indirect (Scope 3) GHG emissions,Sustainability Data Pack - GHG Emissions,link,78,,,
,Disclosure 305-4 GHG emissions intensity,Sustainability Data Pack - Position,link,78,,,
,Disclosure 305-5 Reduction of GHG emissions,Sustainability Data Pack - GHG Emissions,link,78,,,
,Disclosure 305-6 Emissions of ozone-depleting substances (ODS),2022 CDP Climate Change report - C6.4a (p44),link,78,,,
,"Disclosure 305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",Sustainabiltiy data pack - GHG Emissions,link,78,,,
GRI 306: Effluents and Waste 2016,Disclosure 306-1 Water discharge by quality and destination,2022 CDP Climate Change report - C6.5 (p49),link,78,,,
,Disclosure 306-2 Waste by type and disposal method,Sustainability Data Pack - Position,link,78,,,
,Disclosure 306-3 Significant spills,No significant spills in 2023,link,78,,,
GRI 306: Waste 2020,Disclosure 306-1 Waste generation and significant waste-related impacts,Climate change and environment (p37),link,78,,,
,Disclosure 306-2 Management of significant waste-related impacts,Climate change and environment (p37),link,78,,,
,Disclosure 306-3 Waste generated,Sustainability Data Pack - Position,link,78,,,
