Unnamed: 0,CUSTOMER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Performance metric,Spreadsheet tab,,,
1,Number of customers,General,,,
2,Number of branches and business banking centres,General,,,
3,Number of ATMs,General,,,
4,Customer complaints,General,,,
5,Substantiated complaints received concerning breaches of customer privacy,General,,,
6,Number of critical and high priority technology incidents - Australia,General,,,
7,Customer advocacy Ã¢ÂÂ Net Promoter Score (NPS) results,General,,,
8,Financial inclusion metrics,Financial Health,,,
9,Financial hardship assistance - Australia,Financial Health,,,
10,Resources Exposure at Default by type,Exposures,,,
11,Electricity generation exposure at default by fuel source,Exposures,,,
12,"Group agricultural, forestry and fishing exposures by region",Exposures,,,
13,"Australian agricultural, forestry and fishing exposures by sector",Exposures,,,
14,Project Finance data for transactions triggering Equator Principles,Financing,,,
15,Project Finance project name reporting,Financing,,,
16,Environmental finance by lending category,Financing,,,
17,Goal to align lending portfolio to net zero emissions by 2050,Financing,,,
18,Progress towards $6bn affordable and specialist housing 2029 target,Financing,,,
20,PEOPLE,,,,
21,Performance metric,Spreadsheet tab,,,
22,Full-time equivalent colleagues,Workforce,,,
23,Workforce by contract type and gender (headcount),Workforce,,,
24,Colleague distribution by employment type,Workforce,,,
25,Colleague distribution by geographic region,Workforce,,,
26,Progress against 2021-2025 Inclusion and Diversity Measurable Objectives,Workforce,,,
27,Permanent workforce by employment level and gender,Workforce,,,
28,Permanent workforce by tenure and gender,Workforce,,,
29,Permanent workforce by age and gender,Workforce,,,
30,Permanent workforce age profile,Workforce,,,
31,Females in STEM-related positions,Workforce,,,
32,Workforce by gender identity,Workforce,,,
33,Workforce Transgender representation,Workforce,,,
34,Workforce Intersex representation,Workforce,,,
35,Workforce Sexual Orientation,Workforce,,,
36,People with disability,Workforce,,,
37,Indigenous workforce metrics,Workforce,,,
38,Race/ethnicity respresentation,Workforce,,,
39,Workforce with unpaid caring responsibilities,Workforce,,,
40,Workforce by carer type,Workforce,,,
41,Flexible Working Options Utilisation,Workforce,,,
42,Employee engagement,Culture,,,
43,Code of conduct breaches,Culture,,,
44,Whistleblower disclosures,Culture,,,
45,Colleague turnover rate,Culture,,,
46,High performer retention,Culture,,,
47,Hiring,Culture,,,
48,Parental leave - return to work rate (by gender),Culture,,,
49,Long term injury frequency rate (LTIFR),Culture,,,
50,Absenteeism,Culture,,,
51,Basic salary female to male ratio (by location),Remuneration,,,
52,New Zealand basic salary female to male ratio (using local pay scale bands),Remuneration,,,
53,Performance-related compensation as a percentage of total compensation,Remuneration,,,
54,Colleagues covered by collective bargaining agreements,Remuneration,,,
55,No. consultations/negotiations with trade unions over organisational change,Remuneration,,,
56,Employment pathways and development programs,Training,,,
57,Average training hours per colleague,Training,,,
59,COMMUNITY,,,,
60,Performance metric,Spreadsheet tab,,,
61,Supply chain numbers,Supply Chain,,,
62,Community investment by category,Investment,,,
63,Community investment by region,Investment,,,
64,Breakdown of investment by focus area,Investment,,,
65,Volunteering days and in-kind value,Investment,,,
67,ENVIRONMENT,,,,
68,Performance metric,Spreadsheet tab,,,
69,Environmental Statement of Position for the Group data,Position,,,
70,Environmental performance targets,Position,,,
71,Gross greenhouse gas emissions by activity,GHG Emissions,,,
72,GHG emissions by source,GHG Emissions,,,
73,GHG emissions by region,GHG Emissions,,,
74,GHG emissions by gas type,GHG Emissions,,,
75,Offset portfolio by project type for actual GHG emissions,GHG Emissions,,,
76,Direct and indirect energy consumption and production,Energy,,,
77,Net energy use by region,Energy,,,
78,Net energy consumption by fuel type,Energy,,,
79,Electricity consumption by region,Energy,,,
80,Renewable electricity,Energy,,,
81,Other environmental performance indicators,Other,,,
82,Paper purchased by geography,Other,,,
83,Summary of emissions reduction and renewable energy opportunities,Other,,,
84,Examples of energy efficient and renewable energy opportunities implemented,Other,,,
