Industries of interest,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Resources Exposure at Default by type ($bn)1,2",Sep 23,Mar 23,Sep 22,Mar 22,,,,,
,Post2,,Pre revised capital framework,,,,,,
Oil & Gas Extraction (Lending exposures)3,1.09,1.15,1.53,1.91,,,,,
Oil & Gas Extraction (Other exposures)3,1.47,1.37,2.07,1.07,,,,,
Mining Services,1.5,1.41,1.47,1.4,,,,,
Other Mining,1.33,1.43,2.77,2.13,,,,,
Iron Ore Mining,1.2,1.13,0.84,0.95,,,,,
Thermal Coal Mining4,0.24,0.3,0.42,0.46,,,,,
Metallurgical Coal Mining,0.21,0.22,0.36,0.38,,,,,
Gold Ore Mining,0.46,0.5,0.57,0.81,,,,,
Total,7.49,7.51,10.03,9.11,,,,,
Resources Exposure at Default by type (%)1,Sep 23,Mar 23,Sep 22,Mar 22,,,,,
,Post2,,Pre revised capital framework,,,,,,
Oil & Gas Extraction (Lending exposures)3,0.15,0.15,0.15,0.21,,,,,
Oil & Gas Extraction (Other exposures)3,0.2,0.18,0.21,0.12,,,,,
Mining Services,0.2,0.19,0.15,0.15,,,,,
Other Mining,0.18,0.19,0.28,0.23,,,,,
Iron Ore Mining,0.16,0.15,0.08,0.11,,,,,
Thermal Coal Mining4,0.03,0.04,0.04,0.05,,,,,
Metallurgical Coal Mining,0.03,0.03,0.03,0.04,,,,,
Gold Ore Mining,0.06,0.07,0.06,0.09,,,,,
Total,1,1,1,1,,,,,
1. Numbers in table may not sum due to rounding.,,,,,,,,,
"2. From 1 January 2023, the revised capital framework has come into effect. The revised capital framework refers to revisions to APRA's capital adequacy and credit risk capital requirements for ADIs. The primary impact of this change on NAB's resources exposures is a reduction in EAD due to changes in the calculation of off-balance sheet EAD for certain undrawn commitments. For more information on the impact of the revised capital framework and impacts on NAB's reported EAD, see NAB's 2023 Pillar 3 report, available at https://www.nab.com.au/about-us/shareholder-centre/regulatory-disclosures.",,,,,,,,,
"3. Oil and gas extraction EAD includes lending (e.g. revolving/term lending and guarantees) and other markets-related exposures (e.g. derivatives, foreign exchange, repurchase agreements).",,,,,,,,,
4. Thermal coal exposures includes direct exposure (including lending and guarantees) to customers whose primary activity is thermal coal mining. Includes performance guarantees for the rehabilitation of existing coal mining assets. Excludes metallurgical coal mining and diversified mining customers. ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Electricity generation Exposure at Default by fuel source ($bn)1,2",Sep 23,Mar 234,Sep 22,Mar 22,,,,,
,Post3,,Pre revised capital framework,,,,,,
Wind,2.17,1.77,1.54,2.05,,,,,
Hydro,0.5,0.49,0.69,0.63,,,,,
Other/Mixed Renewable,2.75,2.89,3.13,2.95,,,,,
Mixed Fuel,1.49,1.65,1.3,1.23,,,,,
Coal,0,0,0,0,,,,,
Gas,0.48,0.54,0.7,0.68,,,,,
Total,7.39,7.35,7.36,7.54,,,,,
"Electricity generation Exposure at Default by fuel source (%)1,2",Sep 23,Mar 234,Sep 22,Mar 22,,,,,
,Post3,,Pre revised capital framework,,,,,,
Wind,0.29,0.24,0.21,0.27,,,,,
Hydro,0.07,0.07,0.09,0.08,,,,,
Other/Mixed Renewable,0.37,0.39,0.43,0.39,,,,,
Mixed Fuel,0.2,0.22,0.18,0.16,,,,,
Coal,0,0,0,0,,,,,
Gas,0.06,0.07,0.1,0.09,,,,,
Total,1,1,1,1,,,,,
1. Numbers in table may not sum due to rounding.,,,,,,,,,
"2. NAB methodology (based upon the 1993 ANZSIC codes) at net EAD basis. Excludes exposure to counterparties predominantly involved in transmission and distribution. Vertically integrated retailers have been included and categorised as renewable where majority of their generation activities sourced from renewable energy. NAB has no direct lending to coal-fired power generation assets remaining, however there is indirect exposure to coal-fired power within the Mixed Fuel category as a result of NAB’s corporate level exposure to gentailers, which have a mix of generation assets (including coal, gas and renewables) within their generation portfolio.  ",,,,,,,,,
"3. From 1 January 2023, the revised capital framework has come into effect. The revised capital framework refers to revisions to APRA's capital adequacy and credit risk capital requirements for ADIs. The primary impact of this change on NAB's energy generation exposures is a reduction in EAD due to changes in the calculation of off-balance sheet EAD for certain undrawn commitments. For more information on the impact of the revised capital framework and impacts on NAB's reported EAD, see NAB's 2023 Pillar 3 report. ",,,,,,,,,
4. March 2023 has been re-stated to amend a data error tha occurred during transfer from RCF reporting system.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Group agricultural, forestry and fishing exposures by region (%)",2023,,,,,,,,
Australia,0.73,,,,,,,,
New Zealand,0.27,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Australian agriculture, forestry & fishing exposures by sector (%)1",2023,,,,,,,,
Portfolio EAD $44.8bn September 2023,,,,,,,,,
Beef,0.23,,,,,,,,
Sheep/Beef,0.07,,,,,,,,
