Unnamed: 0,Colleague engagement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,Colleague engagement,2023,2022,2021,,,,,,,,,,,
1,Colleague engagement score1,78,76,77,,,,,,,,,,,
2,Response rate,0.83,0.84,0.84,,,,,,,,,,,
3,"1. 2023 Employee Engagement Survey conducted by Glint, score based in July 2023 survey. Includes Australia and New Zealand colleagues, population excludes ubank, external consultants and outsource service providers.",,,,,,,,,,,,,,
5,Conduct and whistleblowing - Australia,,,,,,,,,,,,,,
6,"Code of conduct breaches by outcomes and consequences1,2",2023,2022,2021,2020,2019,,,,,,,,,
7,Warning or counselling / remedial actions,5787,5405,4340,880,986,,,,,,,,,
8,"VRR, In Year Performance Rating, Not Eligible for Promotion3",151,167,207,DNR,DNR,,,,,,,,,
9,Resignation,62,50,86,137,168,,,,,,,,,
10,Termination,79,91,107,88,124,,,,,,,,,
11,Ex-employees4,5,2,,,,,,,,,,,,
12,Total number of breaches of Code of Conduct,6084,5715,4740,1105,1278,,,,,,,,,
13,"1. The Employee Conduct Management framework was updated on the 1st October 2020. The framework is values and principles led. Focused on: Fairness Ã¢ÂÂ each matter is assessed on its own merit, Consistency Ã¢ÂÂ every colleague is held to account, and Proportionality Ã¢ÂÂ consequences match the severity of the misconduct. Previously our reporting focused only on significant cases that needed to escalated, therefore figures in 2019 and 2020 are not comparable with those reported from 2021. The increase in cases year on year may not necessarily reflect worse behaviour but more complete data as we continue to improve consistency and record all minor and mild matters independently managed by People Leaders.",,,,,,,,,,,,,,
14,"2. A single conduct case often has multiple outcomes, for example a Warning Letter and a % reduction in Variable Reward. The outcome counts shown here reflect the single, most significant outcome recorded for each case.",,,,,,,,,,,,,,
15,3. The Variable Reward Reduction (VRR) ranges from 5%-100%.,,,,,,,,,,,,,,
16,"4. In 2023 five ex-employee had conduct breaches identified after their departure from NAB so these cases have been recorded but without any Outcomes, as no Outcomes can be applied to ex-employees. Only 2022 figures have been restated to reflect ex-employees.",,,,,,,,,,,,,,
18,Code of Conduct breaches by category,,,,,,,,,,,,,,
19,Code of Conduct pillars1,"Conduct matters include, but not limited to:",2023,2022,2021,,,,,,,,,,
20,Colleagues,"Ã¢ÂÂ¢ Discrimination, Harassment and Workplace Bullying\nÃ¢ÂÂ¢ Inappropriate use of information Systems\nÃ¢ÂÂ¢ Mandatory training\nÃ¢ÂÂ¢ Other Personal Conduct",1316,1556,2442,,,,,,,,,,
21,Customers and Communities2,Ã¢ÂÂ¢ Fraud / Theft / Corruption\nÃ¢ÂÂ¢ Non-compliant calls\nÃ¢ÂÂ¢ Other Policy & Procedural breaches\nÃ¢ÂÂ¢ Privacy / Confidentiality / Access / Disclosure,1276,1550,267,,,,,,,,,,
22,Governance and Risk,Ã¢ÂÂ¢ Banking Policy or Guidelines Breach\nÃ¢ÂÂ¢ Conflict of Interest\nÃ¢ÂÂ¢ Data loss / Information Security Breach\nÃ¢ÂÂ¢ Other Personal Conduct\nÃ¢ÂÂ¢ Other Policy & Procedural breaches,3320,2484,2031,,,,,,,,,,
23,Leadership Expectations,Ã¢ÂÂ¢ Leadership Expectations,172,125,0,,,,,,,,,,
24,Total number of breaches of Code of Conduct,,6084,5715,4740,,,,,,,,,,
25,"1. Includes cases where the conduct breach was substantiated but outcome not applicable as the colleague had since left NAB. 2023 figures include 5 cases, 2022 figures include 2 cases.",,,,,,,,,,,,,,
26,"2. The breaches have been categorised to align to the Code of Conduct pillars in 2022. This contributes to the increase in 'Customers and Communities' breaches, and subsequent decrease in 'Colleagues' breaches (particularly driven by classification of Ã¢ÂÂOther Personal ConductÃ¢ÂÂ breaches) in 2022 when compared with 2021.",,,,,,,,,,,,,,
28,Whistleblower disclosures,2023,2022,2021,2020,2019,,,,,,,,,
29,No. of disclosures received under the Whistleblower Policy,269,207,190,115,155,,,,,,,,,
31,Turnover and retention,,,,,,,,,,,,,,
32,Colleague turnover rate1,2023,2022,2021,2020,2019,,,,,,,,,
33,Voluntary turnover rate,0.09,0.139,0.116,0.08,0.106,,,,,,,,,
34,Involuntary turnover rate,0.011,0.016,0.028,0.038,0.052,,,,,,,,,
35,Total turnover rate,0.101,0.155,0.144,0.118,0.158,,,,,,,,,
36,"1. Number of all colleagues who exited the bank each year (voluntarily, involuntarily, or total), as a percentage of the average permanent headcount for each respective year. Excludes NAB's Banking Services and Innovation Centres in India and Vietnam.",,,,,,,,,,,,,,
48,Colleague turnover rate by gender1,2023,,2022,,2021,,2020,,,,,,,
49,,Female,Male,Female,Male,Female,Male,Female,Male,,,,,,
50,Voluntary turnover rate,0.088,0.092,0.124,0.15,0.107,0.124,0.076,0.084,,,,,,
51,Involuntary turnover rate,0.008933717579250721,0.012683101107538406,0.012,0.018,0.028,0.029,0.039,0.037,,,,,,
52,Total turnover rate,0.097,0.105,0.136,0.168,0.135,0.153,0.114,0.121,,,,,,
53,"1. Number of all colleagues who exited the bank each year (voluntarily, involuntarily, or total), as a percentage of the average permanent headcount for each respective year by gender. Excludes NAB's Banking Services and Innovation Centres in India and Vietnam.",,,,,,,,,,,,,,
55,High performer retention1,2023,2022,2021,2020,2019,,,,,,,,,
56,Australia,,,,,,,,,,,,,,
57,Retention of high performing colleagues,0.96,0.92,0.93,0.94,0.93,,,,,,,,,
58,Voluntary turnover of high performing colleagues,0.05,0.08,0.07,0.07,0.06,,,,,,,,,
59,New Zealand,,,,,,,,,,,,,,
60,Retention of high performing colleagues,0.93,0.92,0.91,0.94,0.89,,,,,,,,,
61,Voluntary turnover of high performing colleagues,0.08,0.09,0.09,0.06,0.1,,,,,,,,,
62,1. Refers to the percentage of total colleagues identified as Ã¢ÂÂhigh performersÃ¢ÂÂ in the previous performance year that remain employed at 30 September of the current performance year.,,,,,,,,,,,,,,
64,Hiring1,2023,2022,2021,,,,,,,,,,,
65,Australia,,,,,,,,,,,,,,
66,Number of new hires2,3342,4291,4993,,,,,,,,,,,
67,% open positions filled by internal colleague movements3,0.75,0.74,0.73,,,,,,,,,,,
68,"1. Includes NAB Australian based permanent, fixed-term and casual colleagues.",,,,,,,,,,,,,,
69,2. Consists of external appointments.,,,,,,,,,,,,,,
70,3. Movement includes promotions and transfers.,,,,,,,,,,,,,,
72,Parental leave-return to work rate (by gender)1,2023,,2022,,2021,,2020,,,,,,,
73,,Female,Male,Female,Male,Female,Male,Female,Male,,,,,,
74,Australia,,,,,,,,,,,,,,
75,Total number of colleagues entitled to parental leave2,14683,14682,14532,14370,14079,14081,14583,14909,,,,,,
76,Total number of colleagues who took parental leave,892,112,708,42,727,32,729,48,,,,,,
77,Total number of colleagues who returned to work after parental leave ended,833,107,655,39,606,30,628,43,,,,,,
78,Return to work rate (from extended leave which commenced with primary carer leave),0.934,0.955,0.925,0.9286,0.83,0.94,0.86,0.9,,,,,,
79,Total number of colleagues who returned to work after parental leave ended who were still employed twelve months after their return to work,555,32,510,29,547,35,539,37,,,,,,
80,Total number of colleagues who returned to work after parental leave ended who were still employed two years after their return to work,432,26,467,36,485,32,523,23,,,,,,
81,New Zealand,,,,,,,,,,,,,,
82,Total number of colleagues entitled to parental leave2,2691,2101,2427,1924,2354,1906,2385,1853,,,,,,
83,Total number of colleagues who took parental leave,297,109,274,120,239,119,238,79,,,,,,
84,Total number of colleagues who returned to work after parental leave ended,259,98,235,107,208,112,209,76,,,,,,
85,"Return to work rate (from primary carers leave, long service leave and parental leave)",0.872,0.899,0.858,0.892,0.87,0.94,0.88,0.96,,,,,,
