Unnamed: 0,Unnamed: 1,Focus on our people,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,FY23 Sustainability Performance Pack,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,GRI 102-7,Our workforce statistics,,,ASSET,TYPE ,VALUATION,CAP RATE,INCOME,,,,,,,,,,,,,,,
,,,FY16,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,
,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,TOTAL,,,,,
,,Total workforce,519,766,519,788,531,781,557,798,515,777,482,753,504,762,,,,,,,,
,,By employment type,,,,,,,,,,,,,,,,,,,,,,
,,Full-time,459,516,472,516,506,551,525,563,481,528,443,523,454,523,,,,,,,,
,,Part-time,15,146,15,173,25,230,32,235,34,249,39,230,50,239,,,,,,,,
,,By contract ,,,,,,,,,,,,,,,,,,,,,,
,,Permanent,474,662,487,689,499,699,525,720,485,698,445,650,451,654,,,,,,,,
,,Fixed-term contractors,36,61,20,56,23,38,24,38,16,22,18,42,23,41,,,,,,,,
,,Casual,9,43,12,43,9,44,8,40,14,57,19,61,30,67,,,,,,,,
,,By state ,,,,,,,,,,,,,,,,,,,,,,
,,ACT,11,11,-,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,NSW,67,113,74,115,70,119,74,109,60,111,55,111,50,111,,,,,,,,
,,QLD,57,101,58,91,60,83,58,85,49,68,45,62,40,55,,,,,,,,
,,SA,23,24,24,27,21,27,26,30,26,30,20,26,19,29,,,,,,,,
,,TAS,7,12,6,12,6,11,6,12,6,11,6,10,4,10,,,,,,,,
,,VIC,298,428,295,456,316,456,333,475,318,481,307,476,343,491,,,,,,,,
,,WA,56,77,62,87,58,85,60,87,56,76,49,68,48,66,,,,,,,,
,,Employees by Age,,,,,,,,,,,,,,,,,,,,,,
,,Under 30,-,-,-,-,59,114,66,137,57,124,59,116,62,117,,,,,,,,
,,30-50,-,-,-,-,322,497,351,484,323,476,292,444,298,447,,,,,,,,
,,Over 50,-,-,-,-,150,170,140,177,135,177,131,193,144,198,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Employees by region (FY23) ,ACT,NSW,QLD,SA,TAS,VIC,WA,Total,,,,,,,,,,,,,,
,,Total workforce,,,,,,,,,,,,,,,,,,,,,,
,,Total workforce,,,,,,,,,,,,,,,,,,,,,,
,,Employees by employment type,,,,,,,,,,,,,,,,,,,,,,
,,Full-time,,,,,,,,,,,,,,,,,,,,,,
,,Part-time,,,,,,,,,,,,,,,,,,,,,,
,,Employees by contract type,,,,,,,,,,,,,,,,,,,,,,
,,Permanent,,,,,,,,,,,,,,,,,,,,,,
,,Temporary employees,,,,,,,,,,,,,,,,,,,,,,
,,Non-Guaranteed hours employees,,,,,,,,,,,,,,,,,,,,,,
,,Total ,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,GRI 401-1,New hires1,,,,,,,,,,,,,,,,,,,,,,
,,,FY16,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,
,,By gender,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,,,,,,
,,Male,126,0.24,104,0.2,123,0.2297551789077213,117,0.21005385996409337,60,0.12,72,0.14,122,0.24,,,,,,,,
,,Female,169,0.22,168,0.21,143,0.18181818181818182,152,0.19047619047619047,124,0.16,156,0.2,182,0.24,,,,,,,,
,,By age,,,,,,,,,,,,,,,,,,,,,,
,,Under 30,80,0.4,75,0.39,75,0.43352601156069365,79,0.3891625615763547,65,0.36,65,0.37,97,0.54,,,,,,,,
,,30-50,175,0.21,165,0.2,157,0.1916971916971917,157,0.18802395209580838,95,0.12,124,0.17,157,0.21,,,,,,,,
,,Over 50,40,0.14,32,0.12,34,0.11,33,0.10410094637223975,24,0.08,39,0.12,50,0.15,,,,,,,,
,,By state2,,,,,,,,,,,,,,,,,,,,,,
,,ACT,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,,,,
,,NSW,-,-,-,-,-,-,-,-,-,-,40,0.24,46,0.29,,,,,,,,
,,QLD,-,-,-,-,-,-,-,-,-,-,23,0.21,17,0.18,,,,,,,,
,,SA,-,-,-,-,-,-,-,-,-,-,5,0.11,9,0.19,,,,,,,,
