Unnamed: 0,PLANET,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,FY23 Sustainability Performance Pack,,,,,,,,,,,
2,"Vicinity Centres environmental performance1,2,6,7",,,,,,,,,,,
4,Gross lettable area (GLA),,,,,,,,,,,
5,Type,Unit,FY16\n(baseline),FY17,FY18,FY19,FY20,FY21,FY22,FY23,% change from FY22,
6,GLA,sqm3,2129407.755191257,2236582.4999999995,2257614.5767123285,2294609.703561644,2388878.6909589046,2387976.2,2377873.8000000003,2392453,0.006131191655334997,
7,See notes below.,,,,,,,,,,,
10,"GRI 302-1, 302-3, 302-4 - Energy use",,,ASSET,,TYPE,,,,,VALUATION,
11,Type,Unit,FY16 \n(baseline),FY17,FY18,FY19,FY20,FY21,FY22,FY23,% change from FY22,
12,Non-renewable,,,,,,,,,,,
13,Grid electricity,Gigajoules,626441.9837361702,631174.5295759456,624786.318452315,605217.8290426189,456100.0559353991,500831.1186105137,517490.5940438749,528168.93,0.020634840669625426,
14,"Fuel combustion (natural gas, diesel and LPG)",Gigajoules,64968.326242328556,64277.879325183756,65964.88059291433,65761.5519689761,76903.84993833928,70296.08485014379,74388.30282597498,110147,0.4807032263886891,
15,Renewable,,,,,,,,,,,
16,Solar,Gigajoules,0,0,0,17609,105277,34466,40081,42019.32,0.04836007085651555,
17,TOTAL,Gigajoules,691410.3099784987,695452.4089011294,690751.1990452294,688588.381011595,638280.9058737383,605593.2034606575,631959.8968698499,680335.25,0.07654813757923135,
18,Energy intensity,MJ/sqm3,324.6960608145236,310.9442235648046,305.9650686926118,300.08954461527065,267.18849654836595,253.60102142586572,265.76679421332193,284.34710316148323,0.06991207838119733,
19,See notes below.,,,,,,,,,,,
22,"GRI 305-1, GRI 305-2, GRI 305-3, GRI 305-4 - Greenhouse gas emissions",,,,,,,,,,,
23,Emissions,Unit,FY16 \n(baseline),FY17,FY18,FY19,FY20,FY21,FY22,FY23,% change from FY22,
24,Scope 1,tCO2-e4,5786.750563947189,4260.566801489314,3829.578412370876,4076.4138802333387,4751.910950840623,3881.3645351799096,4299.438236602491,5916,0.37599371695474126,
25,Scope 2,tCO2-e4,161397.7155812708,159190.77509882045,155858.80822114233,153317.92274123768,133042.95219681846,124067.26192761943,126041.13706293356,114479,-0.09173304313464319,
26,Total Scopes 1 + 2,tCO2-e4,167184.466145218,163451.34190030975,159688.3866335132,157394.336621471,137794.86314765908,127948.62646279934,130340.57529953605,120395,-0.07630452203145564,
27,Scope 3a,tCO2-e4,57741.03443252559,54637.667921265325,277549.7836282259,279320.1719570633,251270.84328801231,232886.585989081,231476.94249352714,313075,0.3525105206051122,
28,Emissions intensity (Scopes 1 + 2),kg CO2-e4/sqm3,78.51218994466468,73.08084629129924,70.73323687786463,68.59307549217058,57.681816857911585,53.58036083558929,54.813916238757514,50.33285920350369,-0.08175035360975332,
29,See notes below.\na. Includes Vicinity's tenants on our embedded network only.,,,,,,,,,,,
32,GRI 303-5 - Water use1,,,ASSET,,TYPE,,,,,,
33,Water source,Unit,FY16 \n(baseline),FY17,FY18,FY19a,FY20,FY21,FY22,FY23,% change from FY22,
34,Municipal water supplies,Megalitres,2254.551723060949,2332.92622683388,2289.2469387079127,2425.0545816404606,2228.5200491768214,1989.7089393935883,2002.747,2301,0.14892195569385444,
35,Recycled water,Megalitres,0.114,1.731,0.4,1.2,2.7,4,1.8780000000000001,0,-1,
36,Total water use,Megalitres,2254.665723060949,2334.65722683388,2289.646938707913,2426.2545816404604,2231.2200491768217,1993.7089393935883,2004.625,2301,0.14784560703373448,
37,Water intensity,kL/sqm,1.0588229133496516,1.04385026120605,1.0141885875144516,1.0573713594405532,0.9340030775196884,0.834894811511768,0.8430325444521066,0.9617743796847837,0.14085083193300485,
38,See notes below. \na. FY19 water intensity was misreported in the FY19 performance pack. This number was updated in the FY20 performance pack.,,,,,,,,,,,
41,GRI 306-3 - Waste generated,,,,,,,,,,,
42,Disposal method,Unit,FY16 \n(baseline),FY17,FY18,FY19,FY20,FY21,FY22,FY23,% change from FY22,Composition
43,Recycling,Tonnes,14732.584294752614,16539.225953388715,14031.706142233306,15681.247808714286,16144.00304357,18190.931,14215.605000000001,19527.95,0.37369812962585824,0.4250966581457005
44,Composting - organics,Tonnes,0,0,4150.9409252000005,5128.4923879590015,3837.49827,2259.66,6583.399999999999,3585.81,-0.45532551569098023,0.07805816011129864
45,Energy Recovery - organics,Tonnes,0,0,2144.4797801,2288.3771579000004,1406.86305,446.2490000000001,569.655,289.98,-0.4909550517418437,0.006312466435498361
46,Landfill,Tonnes,27062.426543356396,28438.18374560194,27387.34186413155,28692.899008906195,22359.942239599997,18992.99,18997.260000000006,22533.93,0.18616737361072036,0.4905327153075026
47,Total waste generated,Tonnes,41795.01083810901,44977.409698990654,47714.46871166486,51791.01636347949,43748.30660317,39889.83,40365.920000000006,45937.67,0.13803104202753194,
48,Diversion rate,% of total waste,0.35249624295633225,0.36772295390234255,0.42601599465287326,0.4459869486334499,0.4888958230447301,0.5238638520144107,0.5293737885820513,0.5094672846924975,-0.01990650388955384,
49,1. Reporting scope is for retail assets under management.\n2.ÃÂ Third party assurance has been undertaken for this dataset.,,,,,,,,,,,
50,3.ÃÂ Square metres (sqm) refers to retail footprint Ã¢ÂÂ square metres of gross lettable area (GLA).,,,,,,,,,,,
51,4.ÃÂ Tonnes carbon dioxide equivalent.,,,,,,,,,,,
52,"6. Data has been restated from the figures previously reported, based on receipt of invoices, and change in portfolio (e.g. divestment or acquisitions in the previous year).",,,,,,,,,,,
53,"7. For asset level data for FY23, go to 'Asset environmental data' tab.",,,,,,,,,,,
