Unnamed: 0,PLACE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,FY23 Sustainability Performance Pack,,,,,,,,,
3,Non-GRI - Vicinity's portfolio sustainability performance ratings,,,,,,,,,
4,,,FY16\n(baseline),FY17,FY18,FY19,FY20,FY21,FY22,FY23
5,Green Star PerformanceÃÂ¹,Rating,2 Star,3 Star,3 Star,4 Star,4 Star,4 Star,4 Star,4 Star
6,,Assessment,Average Practice,Good Practice,Good Practice,Australian Best Practice,Australian Best Practice,Australian Best Practice,Australian Best Practice,Australian Best Practice
7,,Coverage,1,1,1,1,1,1,1,1
8,"NABERS Energy2,3",Rating,3.4 Star,3.7 Star,3.6 Star,3.8 Star,3.9 Star,4.4 Star,4.6 Star,4.6 Star
9,,Coverage,0.56,0.44,0.85,0.76,0.86,0.91,1,0.99
10,"NABERS Water2,3",Rating,2.9 Star,3.2 Star,3.1 Star,3.3 Star,3.4 Star,3.4 Star,4 Star,3.9 Star
11,,Coverage,0.5,0.44,0.82,0.76,0.86,0.91,1,0.99
12,"1. Managed Portfolio.\n2. NABERS Sustainable Portfolio Index 2022, based on VicinityÃ¢ÂÂs ownership interest and 2021 rating as at December 2021\nwith 100% portfolio coverage",,,,,,,,,
13,"2. NABERS Sustainable Portfolio Index 2023, based on Vicinity's ownership interest and rating as at 31 December 2022 with 99% portfolio coverage.",,,,,,,,,
14,"3. For asset level Green Star and NABERS ratings, go to 'Asset environmental data' tab.\n",,,,,,,,,
