Unnamed: 0,PEOPLE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
90,Employees who returned to work after parental leave ended in the previous financial year,6,29,6,48,15,23,14,29,26,38,14,25,16,24,,,,,,,,
91,Employees who returned to work after parental leave ended who were still employed 12 months after their return,5,26,5,27,9,22,9,25,15,29,16,24,14,50,,,,,,,,
92,Return to work rate1,1,1,1,0.55,0.93,0.67,2,0.66,0.56,0.36,0.9411764705882353,0.43636363636363634,1.0952380952380953,0.8095238095238095,,,,,,,,
93,Retention rate,0.83,0.9,0.83,0.56,0.6,0.9565217391304348,0.64,0.86,0.58,0.76,1.14,0.96,0.875,2.0833333333333335,,,,,,,,
94,1. The number of employees who returned to work in the reporting period after parental leave ended as a proportion of employees that took parental leave and are due to return. Some numbers exceed 100% as we had more employees return to work after parental leave in this FY than we did in the prior FY reporting period.,,,,,,,,,,,,,,,,,,,,,,
97,GRI 405-1 - Gender diversity,,,,,,,,,,,,,,,,,,,,,,
98,,FY16,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,
99,Category,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,
100,Board,0.73,0.27,0.7,0.3,0.6699999999999999,0.33,0.63,0.37,0.75,0.25,0.75,0.25,0.71,0.29,0.67,0.33,,,,,,
101,Executive Leadership Team,0.78,0.22,0.67,0.33,0.6699999999999999,0.33,0.7,0.3,0.67,0.33,0.67,0.33,0.6,0.4,0.62,0.38,,,,,,
102,"Other Executives and General Managers1,5",0.63,0.37,0.66,0.34,0.6699999999999999,0.33,0.74,0.26,0.76,0.24,0.77,0.23,0.8,0.2,-,-,,,,,,
103,"Senior Managers/Business Leadership Team2,5",0.7,0.3,0.62,0.38,0.63,0.37,0.45,0.55,0.67,0.33,0.62,0.38,0.62,0.38,0.66,0.34,,,,,,
104,"Other Managers3,5",-,-,-,-,-,-,-,-,0.46,0.54,0.4,0.6,0.43,0.57,0.49,0.51,,,,,,
105,"Team Members4,5",0.32,0.68,0.33,0.67,0.32999999999999996,0.67,0.36,0.64,0.34,0.66,0.32,0.68,0.35,0.65,0.32,0.68,,,,,,
106,Group,0.4038910505836576,0.596108949416342,0.4,0.6,0.4,0.6,0.41,0.59,0.4,0.6,0.39,0.61,0.4,0.6,0.39,0.61,,,,,,
107,"1. Other Executives and General Managers WGEA category. As of FY23 the only employees with this WGEA category are the Executive Leadership Team (ELT), who are in their own category. \n2. Senior Managers WGEA category.\n3. Other Managers WGEA category - FY20 is the first year we have reported on this category.\n4. Non-manager (all other) WGEA categories.\n5. The FY22 data for all categories other than the Board and ELT has been restated to align with the FY23 categories.",,,,,,,,,,,,,,,,,,,,,,
110,GRI 405-1 - Age diversity,,,,,,,,,,,,,,,,,,,,,,
111,,FY17,,,FY18,,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,
112,Category,<30,30-50,50>,<30,30-50,50>,<30,30-50,50>,<30,30-51,50>,<30,30-51,50>,<30,30-50,50>,<30,30-50,50>,
113,Board,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,
114,ELT,-,0.67,0.33,-,0.44,0.56,-,0.5,0.5,-,0.5,0.5,-,0.3,0.6,-,0.4,0.6,-,0.25,0.75,
115,Other Executives and General Managers1,-,0.86,0.14,-,0.78,0.22,-,0.68,0.32,-,0.69,0.31,-,0.46,0.54,-,0.55,0.45,-,-,-,
116,Senior Managers/Business Leadership Team2,0.01,0.85,0.14,0.07,0.73,0.2,0.08,0.71,0.21,0.01,0.83,0.16,0.05,0.69,0.26,0.05,0.68,0.27,-,0.74,0.26,
117,Other Managers3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,0.71,0.27,
118,Team Members4,0.16,0.62,0.21,0.19,0.58,0.23,0.21,0.55,0.24,0.18,0.58,0.24,0.21,0.55,0.25,0.21,0.54,0.25,0.19,0.57,0.24,
119,Group,0.15,0.65,0.21,0.13,0.65,0.22,0.15,0.62,0.23,0.14,0.62,0.24,0.14,0.6,0.26,0.14,0.59,0.27,0.14,0.61,0.25,
120,"1. Other Executives and General Managers WGEA category. As of FY23 the only employees with this WGEA category are the ELT, who are in their own category.\n2. Senior Managers WGEA category.\n3. Other Managers WGEA category (reported since FY23).\n4. Non-manager (all other) WGEA categories.",,,,,,,,,,,,,,,,,,,,,,
123,GRI 405-2 - Percentage of remuneration from women to men,,,,,,,,,,,,,,,,,,,,,,
124,,FY18,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,,,,,,
