Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Focus on our people,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
98,,GRI 405-1,Gender diversity,,,,,,,,,,,,,,,,,,,,,,
99,,,,FY16,,FY17,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,
100,,,Category,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,
101,,,Board,0.73,0.27,0.7,0.3,0.6699999999999999,0.33,0.63,0.37,0.75,0.25,0.75,0.25,0.71,0.29,,,,,,,,
102,,,Executive Committee,0.78,0.22,0.67,0.33,0.6699999999999999,0.33,0.7,0.3,0.67,0.33,0.67,0.33,0.6,0.4,,,,,,,,
103,,,Other Executives & General Managers (Senior Leaders1),0.63,0.37,0.66,0.34,0.6699999999999999,0.33,0.74,0.26,0.76,0.24,0.77,0.23,0.79,0.21,,,,,,,,
104,,,Senior Managers2,0.7,0.3,0.62,0.38,0.63,0.37,0.45,0.55,0.67,0.33,0.62,0.38,0.55,0.45,,,,,,,,
105,,,Other Managers3,,,,,,,,,0.46,0.54,0.4,0.6,-,-,,,,,,,,
106,,,Our People4,0.32,0.68,0.33,0.67,0.32999999999999996,0.67,0.36,0.64,0.34,0.66,0.32,0.68,0.34,0.66,,,,,,,,
107,,,Group,0.4038910505836576,0.596108949416342,0.4,0.6,0.4,0.6,0.41,0.59,0.4,0.6,0.39,0.61,0.43,0.57,,,,,,,,
108,,,"1 - Other executives and general managers WGEA category\n2 - Senior manager WGEA category\n3 - Other manager WGEA category - FY20 is the first year we have reported on this category. As of FY22, this is no longer an employee category and will not be reported on moving forward. \n4 - Non-manager WGEA category",,,,,,,,,,,,,,,,,,,,,,
110,,GRI 405-1,Age diversity,,,,,,,,,,,,,,,,,,,,,,
111,,,,FY17,,,FY18,,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,
112,,,Category,Under 30,30-50,Over 50,Under 30,30-50,Over 50,Under 30,30-50,Over 50,Under 30,30-51,Over 50,Under 30,30-51,Over 50,Under 30,30-50,Over 50,Under 30,30-50,Over 50,
113,,,Board,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,0,0,1,,,,
114,,,Executive Committee,-,0.67,0.33,-,0.44,0.56,-,0.5,0.5,-,0.5,0.5,-,0.3,0.6,0,0.4,0.6,,,,
115,,,Other Executives & General Managers (Senior Leaders1),-,0.86,0.14,-,0.78,0.22,-,0.68,0.32,-,0.69,0.31,-,0.46,0.54,0,0.55,0.45,,,,
116,,,Senior Managers2,0.01,0.85,0.14,0.07,0.73,0.2,0.08,0.71,0.21,0.01,0.83,0.16,0.05,0.69,0.26,0.05,0.68,0.27,,,,
117,,,Our People3,0.16,0.62,0.21,0.19,0.58,0.23,0.21,0.55,0.24,0.18,0.58,0.24,0.21,0.55,0.25,0.21,0.54,0.25,,,,
118,,,Group,0.15,0.65,0.21,0.13,0.65,0.22,0.15,0.62,0.23,0.14,0.62,0.24,0.14,0.6,0.26,0.14,0.59,0.27,,,,
119,,,1 - Other executives and general managers WGEA category\n2 - Senior manager WGEA category\n3 - Non-manager WGEA category,,,,,,,,,,,,,,,,,,,,,,
120,,,Percentage of remuneration from women to men,,,,,,,,,,,,,,,,,,,,,,
121,,GRI 405-2,Category,FY18,FY 19,Column1,FY20,Column2,FY21,FY 21,FY22,Column3,FY23,FY232,,,,,,,,,,,
122,,,,Remuneration,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,Remuneration,Basic Salary,,,,,,,,,,,
123,,,Executive Committee*,86,0.99,0.95,78,0.85,1.02,1.04,0.78,0.87,,,,,,,,,,,,,
124,,,Senior Leaders,77,0.8,0.84,79,0.83,0.82,0.87,0.87,0.89,,,,,,,,,,,,,
125,,,Team Members,70,0.75,0.77,70,0.73,0.7,0.73,0.71,0.74,,,,,,,,,,,,,
127,,,\n1 - The employment categories presented in this table are broad and incorporate a number of different roles to calculate an average ratio.\n2 - Executive Committee includes all employees on the Executive Committee excluding the CEO and KMP. \n3 - Senior Leaders includes all senior leaders reporting into an Executive Committee member\n4 - Vicinity has changed the definitions of the employment categories for this indicator and therefore has reinstated all data for the past three years.\n\n* Please exclude the CEO and KMP. Include other EC members.,,,,,,,,,,,,,,,,,,,,,,
129,,GRI 404-3,"Percentage of employees who received performance reviews, \nby gender and by employee category1",,,,,,,,,,,,,,,,,,,,,,
130,,,Category,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,
131,,,Male,1,1,1,1,1,1,,,,,,,,,,,,,,,,
132,,,Female,1,1,1,1,1,1,,,,,,,,,,,,,,,,
133,,,Executive Committee*,1,1,1,1,1,1,,,,,,,,,,,,,,,,
134,,,Senior Leaders,1,1,1,1,1,1,,,,,,,,,,,,,,,,
135,,,Our People (Team Members)**,1,1,1,1,1,1,,,,,,,,,,,,,,,,
137,,,Category,Number of fixed term and permanent employees who received performance reviews,Number of permanent employees in the category,Percentage of all employees out of permanent employees who received performnace reviews,Percentage of permanent employees out of all employees who received performnace reviews,Percentage of permanent employees who received performnace review,,,,,,,,,,,,,,,,,
138,,,Total permanent employees,,,,,,,,,,,,,,,,,,,,,,
139,,,Male,,,,,,,,,,,,,,,,,,,,,,
140,,,Female,,,,,,,,,,,,,,,,,,,,,,
141,,,Executive Committee*,,,,,,,,,,,,,,,,,,,,,,
142,,,Senior Leaders,,,,,,,,,,,,,,,,,,,,,,
143,,,Our people**,,,,,,,,,,,,,,,,,,,,,,
144,,,* Please exclude the CEO and KMP. Include other EC members. \n**Our people: All other employees,,,,,,,,,,,,,,,,,,,,,,
146,,GRI 403-9,Absentee rate for employees and internal contractors,,,,,,,,,,,,,,,,,,,,,,
147,,,Category,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,
148,,,Absentee Rate1,1.31,1.57,1.93,1.87,1.65,1.43,1.88,,,,,,,,,,,,,,,
149,,,"1 - Percentage of days lost as a result of absences. Absentee rate for FY16 only covered half the year (from 1 January to 30 June 2016). Therefore, the increase in the absentee rate is due to improved data capture from FY17 onwards.",,,,,,,,,,,,,,,,,,,,,,
151,,GRI 403-9,Injury performance indicators for employees and internal contractors,,,,,,,,Completed by safety team,,,,,,,,,,,,,,
152,,,Category,FY16,FY17,FY18,FY19,FY20,FY21,FY22,,,,,,,,,,,,,,,
153,,,Lost Time Injury Frequency Rate1,3.31,2.4,See note 3,See note 3,See note 3,0.52,0.53,,,,,,,,,,,,,,,
