Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
74,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Physical climate risk assessment,,,Dexus,2023.0,"Since 2011, Dexus has conducted periodic group-wide physical climate risk assessments to determine the magnitude of climate risks across the portfolio. Properties identified as high risk through the portfolio-wide climate risk assessment have site-specific climate risk assessments to evaluate significant climate-related vulnerabilities and adaptation actions.",,,Data pack,,71,,"Physical climate risk assessment, climate risk, climate-related vulnerability",13,E,,,,,,,,,,,,,,,
75,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Climate Resilience Working Group,,,Dexus,2023.0,Dexus has a Climate Resilience Working Group responsible for monitoring climate-related risks and opportunities relevant to the group and coordinating climate-related management activities.,,,Data pack,,75,,"Climate Resilience Working Group, climate-related risk, climate-related management",13,E,,,,,,,,,,,,,,,
76,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,"Dexus does not operate a defined benefit superannuation scheme. Consistent with Australian legislation, superannuation contributions are made to superannuation funds employees select. Dexus contributes retirement provisions in line with Australia's employer superannuation guarantee requirements.",,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
77,,201.0,Economic Performance,201-04,Financial assistance received from government,"Dexus did not undertake any Energy Saving Certificate (ESC) transactions, resulting in $0 revenue for the year.",,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
78,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
79,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
80,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
81,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,,Smart buildings delivery strategy,,Dexus,2023.0,"Dexus implements a smart buildings delivery strategy and model to build transparency around minimum standards for technology requirements and data infrastructure. This approach means challenges relating to technology compatibility, and future-proofing can be addressed. This new process has identified financial and operational benefits for Dexus' Waterfront Brisbane project.",,,,,60,,"Smart building delivery strategy, data infrastructure, technology compatibility",11,S,,,,,,,,,,,,,,,
82,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Bipolar ionisation,,,Dexus,2023.0,"Dexus trialled bipolar ionisation to enhance indoor air quality; however, this yielded limited commercial benefits above the high levels of existing indoor environment quality. Dexus progressed future readiness for the rollout of mobile access for its customers, driven by the need for a standardised approach to mobile access and wallet features.",,,Data pack,,60,,"Bipolar ionisation, indoor air quality, indoor environment quality",11,S,,,,,,,,,,,,,,,
83,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Theatre Royal Sydney,,,Dexus,2023.0,"Dexus is proud to have brought Australia's oldest theatre institution back to life with the launch of Theatre Royal Sydney at 25 Martin Place. As part of a vibrant new precinct, the rejuvenated lyric theatre is attracting a range of new shows to Sydney, boosting the economy and extending night-time entertainment options for the community.",,,Data pack,,62,,"Theatre Royal Sydney, lyric theatre, night-time entertainment","11, 17",S,,,,,,,,,,,,,,,
84,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Blaklash,,,Dexus,2023.0,"At the Waterfront Brisbane project, Dexus engaged Blaklash as a First Nations Design Consultant in a cultural visioning capacity. Blaklash's engagement has focused on opportunities to Design with Country to ensure culturally relevant and integrated placemaking strategies are expressed throughout the development. Given the scale of the project, it is anticipated that further work will be required to ensure community engagement and a co-design process enacted to allow Aboriginal and Torres Strait Islander culture to be represented throughout the built environment at Waterfront Brisbane.",,,Data pack,,62,,"Blaklash, First Nations Design Consultant, placemaking strategy","8, 17",S,,,,,,,,,,,,,,,
85,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Black Dog Institute,,,Dexus,2023.0,"Dexus' partnership with the Black Dog Institute focuses on creating a mentally healthier world. The partnership has promoted the Black Dog Institute's programs and content across Dexus's customer base through lift screens, events, and wider communications to help reduce the stigma and support mental health in the workplace. The programs included the NSW Government initiative for free business mental health training and the MyCompass online self-help program.\t",,,Data pack,,63,,"Black Dog Institute, mental health, self-help program",3,S,,,,,,,,,,,,,,,
86,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Adopt-a-pet initiative,,,Dexus,2023.0,"Across its retail centres, Dexus focused on serving its communities and localising activations to create compelling experiences within its spaces. Dexus' activations throughout FY23 included the Adopt-a-pet initiative at Willows Shopping Centre, where half of the revenue was returned to a pet rehoming not-for-profit, and a ticketed dinner event at Casula Shopping Centre to celebrate Eid al-Fitr and the end of Ramadan.",,,Data pack,,63,,"Adopt-a-pet initiative, community, Willows Shopping Centre",17,S,,,,,,,,,,,,,,,
87,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Volunteering,,,Dexus,2023.0,"This year, Dexus' employees took part in community volunteering events across Australia, including the Eat Up Australia Sandwich challenge, Cerebral Palsy Alliance's STEPtember and Christmas present wrapping, and the Balmoral Swim, where Dexus' sponsorship raised funds for the Children's Cancer Institute.",,,Data pack,,63,,"Volunteering, Eat Up Australia Sandwich challenge, STEPtember",17,S,,,,,,,,,,,,,,,
88,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Social Impact Working Group,,,Dexus,2023.0,"Dexus has a Social Impact Working Group, which implements the group's social impact strategy across communities, people, customers, and suppliers.",,,Data pack,,75,,"Social Impact Working Group, social impact strategy, community",17,S,,,,,,,,,,,,,,,
89,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Reconciliation Action Plan Working Group,,,Dexus,2023.0,"Dexus has a Reconciliation Action Plan Working Group, responsible for advancing the group's reconciliation journey with Aboriginal and Torres Strait Islander peoples and implementing initiatives aligned with Dexus's Reconciliation Action Plan.",,,Data pack,,75,,"Reconciliation Action Plan Working Group, reconciliation journey, RAP",17,S,,,,,,,,,,,,,,,
90,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,ARA Indigenous Services,,,Dexus,2023.0,"This year, Dexus engaged ARA Indigenous Services in a competitive tender exercise for cleaning services in Industrial and health assets in NSW, QLD and VIC. ARA Indigenous Services is creating community impact by supporting Indigenous youth through work placement, social procurement initiatives and educational opportunities.",,,Data pack,,61,,"ARA Indigenous Services, community impact, Indigenous youth","8, 17",S,,,,,,,,,,,,,,,
91,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,Whistleblower Policy,,,Dexus,2023.0,"The group strongly supports identifying and disclosing corrupt conduct, illegality or substantial waste of company assets under its Whistleblower Policy. Employees who make such disclosures are protected from any detrimental action or reprisal, and an independent external disclosure management service provider has been appointed to ensure, when requested, anonymity for those reporting incidents.",,,Data pack,,,11,"Whistleblower Policy, corrupt conduct, external disclosure management",16,G,,,,,,,,,,,,,,,
92,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Anti-corruption training,,,Dexus,2023.0,"During the year, all employees received communication and completed training about policies and procedures related to fraud, anti-corruption and human rights. Employees are required to declare their compliance with Dexus's Code of Conduct annually. Anti-corruption policies and procedures are included as part of this compliance. Compliance training is compulsory for every employee.",,,Data pack,Data pack,,,"Anti-corruption, human rights, compliance training",16,G,,,,,,,,,,,,,,,
93,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,Dexus had no cases of corruption in 2023.,,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
94,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices","No legal actions were brought against Dexus for anti-competitive, anti-trust, or monopoly practices in FY23.",,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
95,,207.0,Tax,207-01,Approach to tax,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
96,,207.0,Tax,207-02,"Tax governance, control, and risk management",,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
97,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
98,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
99,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
100,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
101,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
102,,302.0,Energy,302-01,Energy consumption within the organization,"Dexus consumed 598,250 GJ of energy in 2023.",,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
103,,302.0,Energy,302-02,Energy consumption outside of the organization,"Dexus consumed 41,329 MWh of non-renewable energy in 2023.",,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
104,,302.0,Energy,302-03,Energy intensity,Dexus' energy intensity in 2023 was 84 kWH per sqm of office area.,,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
105,,302.0,Energy,302-04,Reduction of energy consumption,Dexus reduced its non-renewable energy consumption by 1%.,,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
106,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,Energy Procurement Working Group,,,Dexus,2023.0,"Dexus has an Energy Procurement Working Group, which is responsible for implementing a group-wide energy procurement approach and coordinating ongoing procurement practices for electricity and natural gas while integrating a transition to clean energy.",,,Data pack,,75,,"Energy Procurement Working Group, energy procurement approach, electricity","7, 12",E,,,,,,,,,,,,,,,
107,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,"Dexus has a well-established NABERS program to benchmark energy and water performance nationally, using a rating scale from 1 to 6 stars.",,,,Dexus,2023.0,,,,Data pack,,69,,,,,,,,,,,,,,,,,,,
108,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,"Overall, Dexus' office properties have maintained their NABERS Energy ratings despite increasing physical occupancy, and its office portfolio has achieved a 9.5% reduction in energy intensity in FY23 versus its 2019 baseline. Water intensity is higher this year compared to FY22 in response to greater physical occupancy, yet it remains well below Dexus' 2019 baseline, with a 34.6% reduction since 2019.",,,,Dexus,2023.0,,,,Data pack,,68,,,,,,,,,,,,,,,,,,,
109,,303.0,Water and Effluents,303-03,Water withdrawal,"Dexus withdrew 1,326,775 kL of water in 2023.",,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
110,,303.0,Water and Effluents,303-04,Water discharge,Dexus' water intensity was 0.47 kL per sqm of office area.,,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
