Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,
1,,102.0,General Disclosures,102-01,Name of the organization,Dexus,,,,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,102.0,General Disclosures,102-02,"Activities, brands, products, and services","Dexus is a leading Australasian fully integrated real asset group, managing a high-quality Australasian real estate and infrastructure portfolio valued at $61.0 billion.",,,,Dexus,2023.0,,,,,,7,,,,,,,,,,,,,,,,,,,
3,,102.0,General Disclosures,102-03,Location of headquaters,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,,102.0,General Disclosures,102-04,Location of operations,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,,102.0,General Disclosures,102-05,Ownership and legal form,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,,102.0,General Disclosures,102-06,Markets served,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,,102.0,General Disclosures,102-07,Scale of the organization,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,,102.0,General Disclosures,102-08,Information on employees and other workers,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,,102.0,General Disclosures,102-09,Supply chain,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,,102.0,General Disclosures,102-10,Significant changes to the organization and its supply chain,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,,102.0,General Disclosures,102-11,Precautionary Principles or approach,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,,102.0,General Disclosures,102-12,External initiatives,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,,102.0,General Disclosures,102-13,Membership of associations,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,,102.0,General Disclosures,102-14,Statement from senior decision-maker,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,,102.0,General Disclosures,102-15,"Key impacts, risks, and opportunities",,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,,102.0,General Disclosures,102-16,"Values, principles, standards, and norms of behavior",,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,,102.0,General Disclosures,102-17,Mechanisms for advice and concerns about ethics,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,,102.0,General Disclosures,102-18,Governance structure,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,,102.0,General Disclosures,102-19,Delegating authority,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,,102.0,General Disclosures,102-20,"Executive-level responsibility for economic, environmental, and social topics",,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
